1571486986,2,2,1,"C10,C9,C8,C2;S4,S9,S5,SJ;S7,S8,SA,S2;S10,C4,SQ,S6;C3,C6,SK,S3;D7,D3,D5,D8;C5,CK,D6,CJ;D10,DJ,C7,CQ;DA,D2,DQ,D9;D4,H3,DK,H2;H4,H6,HK,HJ;H7,HQ,H10,H8;H9,CA,HA,H5"
1571486986,2,13,1,"CK,CJ,CQ,C2;S6,SQ,S2,S4;S8,C6,S9,S10;C9,C8,C7,C3;C10,SK,S3,C4;SJ,CA,SA,C5;D7,D10,D2,DJ;DQ,D4,D8,D9;D3,D5,S5,DK;D6,H2,S7,DA;HA,H5,H7,H4;H8,H9,HK,H6;H10,H3,HQ,HJ"
1571486986,2,13,1,"CJ,C5,CA,C2;SQ,S8,S2,S3;S4,SA,S5,C8;C6,SK,S6,C9;S10,C7,SJ,D4;CK,C10,C3,D8;D3,C4,S7,D10;D5,D2,S9,DA;DJ,D9,CQ,H4;H3,DK,H5,D6;H8,DQ,H7,D7;HK,HJ,HA,H6;H9,HQ,H10,H2"
1571486986,2,5,1,"C8,C7,CQ,C2;SJ,SQ,S5,S2;S6,S9,S8,S3;C9,S10,SK,S4;C4,CA,CK,C5;D9,DA,D5,D2;CJ,D6,C3,C10;D7,C6,D3,S7;D10,H4,D4,SA;H5,DK,D8,DQ;H2,H6,H9,H8;H3,HQ,HJ,H10;HK,DJ,H7,HA"
1571486986,2,5,1,"C9,CJ,CA,C2;S10,SA,S3,S4;C6,S8,S2,S9;C3,S7,C8,S5;CK,C4,S6,SJ;C10,SQ,D3,SK;D4,DK,D6,D2;H2,CQ,C5,D8;D7,D5,DQ,H3;HQ,H8,H7,H6;D10,D9,H9,H10;DJ,C7,HK,H5;DA,HJ,HA,H4"
1571486986,2,4,1,"C7,CJ,C10,C2;S2,SJ,S4,S3;SA,SQ,S5,C4;CQ,S6,S7,C6;D4,S10,S8,C8;SK,D7,S9,CK;D8,C5,C3,CA;DK,D9,DQ,D5;D10,H3,D2,DA;DJ,H6,D6,D3;H7,C9,H5,HA;HK,H9,H8,H4;H10,HJ,HQ,H2"
1571486986,2,4,1,"CJ,C7,C9,C2;S3,S4,S10,S2;C5,SK,SJ,S5;SQ,C10,S9,S6;D2,C8,CQ,C4;D10,D9,D5,DK;D7,D3,SA,S7;DJ,D8,C6,C3;DQ,H2,CK,S8;H3,CA,D4,H7;H4,DA,D6,HK;H6,H8,H5,HJ;HQ,H9,HA,H10"
1571486986,2,0,1,"C8,S2,CK,C2;SK,SJ,S7,S4;SQ,S5,SA,S10;C3,S8,D2,S6;D5,S9,C7,S3;CA,C5,D6,C4;C6,D7,D3,C9;D9,D10,D4,C10;DJ,DQ,DA,CJ;H5,DK,H2,CQ;H6,H7,H3,D8;HA,H9,H4,H10;HQ,HJ,H8,HK"
1571486986,2,7,1,"C4,CA,C10,C2;SA,SJ,S8,S9;S2,SK,S3,S5;SQ,CJ,S10,C3;CK,C8,S4,C5;D3,D4,S6,C7;D7,D5,S7,CQ;D8,D10,C6,DJ;D9,H3,C9,DQ;DK,H7,DA,D2;HA,HK,H2,H8;HJ,H4,H5,H6;HQ,H10,H9,D6"
1571486986,2,5,1,"C3,C7,S3,C2;SA,S2,S6,S9;S4,SJ,S5,S8;SQ,S7,SK,S10;D2,C8,C5,CJ;C6,CA,D9,C4;D10,CK,CQ,C9;D4,H3,C10,D5;D8,D3,DQ,H5;H2,DK,D6,HQ;H4,DJ,D7,HJ;HK,DA,H6,H10;HA,H7,H9,H8"
1571486986,2,0,1,"CK,C7,C9,C2;S9,S2,S4,SJ;SA,SK,S8,S6;C8,S3,S5,S7;S10,C10,C3,SQ;D5,D3,C6,C4;D6,D8,C5,CA;D9,H2,CJ,CQ;H6,D7,D2,DA;H8,D4,DK,D10;H9,H3,DJ,DQ;HQ,H4,HJ,H7;H5,H10,HK,HA"
1571486986,2,4,1,"CQ,C6,C3,C2;S4,S10,S7,S3;S9,SQ,S2,S6;D3,S8,SJ,S5;D8,C9,C10,C4;H3,C7,CJ,C8;H4,CA,CK,C5;H6,D5,D6,D4;D9,H7,D2,DQ;D7,H9,D10,SK;H2,HQ,DK,SA;H5,HK,DA,DJ;H10,HA,H8,HJ"
