1571924794,3,0,1,"CQ,C5,C7,C2;D8,DJ,DK,D5;DA,CK,C3,C4;SK,C6,D6,C8;HQ,CA,HA,C9;HK,H2,H10,H3;S10,SJ,S4,S5;C10,HJ,H5,H6;S7,S8,S6,S9;SQ,D3,D9,H4;CJ,D4,DQ,H7;D2,D7,S2,H8;S3,D10,SA,H9"
1571924794,3,0,1,"CJ,CQ,CK,C2;C10,C9,CA,C3;C5,C7,SQ,C4;SK,C8,DQ,C6;HJ,DJ,DK,D2;D3,H2,D4,D5;H7,S2,HA,H6;D10,D8,SJ,DA;S6,SA,S7,S8;S3,HK,H8,H4;H5,H3,S4,H9;D6,D7,S5,H10;D9,S9,S10,HQ"
1571924794,3,0,1,"CK,C8,C9,C2;C10,C6,CA,C3;CJ,SA,SK,C5;DA,D9,CQ,C4;DQ,D6,D7,D2;D10,D5,SQ,C7;S10,S6,S3,S7;D4,S8,S9,S2;HK,H3,H9,H2;HA,D8,H7,H6;DJ,HJ,H10,H8;S4,HQ,DK,H4;SJ,H5,S5,D3"
1571924794,3,0,1,"CK,C9,C10,C2;D8,D6,D7,D3;D5,C4,SQ,C5;HA,C6,SA,C7;H10,H2,HK,H3;HQ,H4,H9,H5;H8,C8,DA,CJ;H7,C3,DK,CQ;SJ,D4,DQ,CA;S10,SK,DJ,D2;HJ,S6,S9,D9;H6,S4,S8,D10;S5,S3,S7,S2"
1571924794,3,18,1,"C10,CJ,CA,C2;C9,C8,C3,C6;SA,SK,CK,C4;C7,DQ,DK,CQ;D7,D2,D3,D4;D9,DJ,DA,C5;D5,D8,D10,D6;SJ,S5,S2,S7;S10,S9,S8,S6;HA,HK,SQ,S3;H6,HJ,H2,H4;HQ,H3,H5,H8;H10,S4,H7,H9"
1571924794,3,26,1,"CQ,CJ,CA,C2;CK,C5,C3,C6;C7,C10,C8,C4;SA,SQ,SK,C9;DA,D7,D10,D3;DJ,HA,DK,D5;H9,D4,HJ,D6;H8,D2,H10,D8;H7,HK,H4,D9;H5,HQ,H2,DQ;SJ,S5,S7,S8;S3,S9,S10,S2;S4,H3,S6,H6"
1571924794,3,0,1,"CK,C9,CJ,C2;CA,C10,C4,C5;C7,DA,C6,C3;DK,DQ,D3,D4;DJ,D9,D10,D7;D2,SA,D8,D5;SK,S5,S8,S2;SQ,HA,H9,D6;HJ,H5,H2,H3;HQ,S10,HK,C8;H7,S9,H8,CQ;S4,S7,S3,SJ;H4,S6,H6,H10"
1571924794,3,23,1,"C9,C3,C4,C2;DQ,D6,DA,D4;SA,CA,SK,C5;D2,CK,DJ,C6;HQ,C10,HK,C7;H8,CQ,H9,C8;H6,HJ,H7,CJ;D9,D3,H5,D5;D8,H3,HA,H4;D7,D10,S7,DK;SJ,S4,S5,S6;S10,S3,SQ,S8;H2,S9,S2,H10"
1571924794,3,4,1,"CK,C6,C7,C2;CA,C3,C8,C9;SA,C10,CJ,C5;DA,D7,D9,D2;DQ,C4,SQ,CQ;D6,D5,D3,D8;HA,D4,D10,DJ;HJ,HQ,H5,H4;S7,S9,S2,S4;H10,H7,H3,H6;S6,H2,HK,H9;SJ,SK,S3,S8;DK,H8,S5,S10"
1571924794,3,5,1,"C7,CQ,CA,C2;C10,C4,CJ,C5;CK,SA,C3,C6;D10,SQ,C8,C9;D5,DQ,DA,D2;DK,D3,D7,D9;HA,D6,HQ,D8;HJ,H3,H10,H4;H9,S7,SK,S4;S6,H6,S5,S8;SJ,H2,S3,S9;D4,H5,HK,H7;S10,DJ,S2,H8"
1571924794,3,7,1,"CK,CJ,CA,C2;C9,CQ,C3,C5;SQ,C8,C6,C7;DK,D4,D7,D10;C10,DA,SA,C4;DQ,DJ,D9,D3;H5,D8,SK,D2;HA,D6,H3,D5;H2,HJ,HK,H6;HQ,S2,H9,H8;SJ,S6,S9,S5;S10,S8,S7,S3;H10,H4,S4,H7"
1571924794,3,1,1,"CK,C8,C10,C2;CA,C7,CJ,C6;C4,D10,CQ,C3;C5,DQ,D9,C9;D8,DJ,HA,D2;HJ,H10,H3,H4;H7,HQ,H2,H6;HK,H5,SQ,H9;SJ,DK,DA,D4;D5,S9,D3,D6;S6,S5,SA,S7;SK,H8,S4,D7;S10,S3,S2,S8"
