1571471741,0,7,0,"CJ,CQ,C7,C2;S3,SJ,S9,S4;S2,S10,C5,S5;C8,SQ,S6,S8;C6,SK,D2,S7;D7,C3,D4,SA;D8,C9,D5,CA;DA,DJ,DK,D3;C4,DQ,D6,D9;H3,H9,C10,D10;H5,H10,H2,H4;H6,HA,H7,HJ;H8,HK,CK,HQ"
1571471741,0,2,0,"C9,CK,S3,C2;SJ,S8,S5,S2;S6,S7,SK,S9;SQ,C4,C6,S4;D5,DJ,D4,D3;C5,D7,C7,C8;C3,D8,C10,CJ;S10,D10,D2,CQ;SA,DA,D9,CA;HQ,H10,HJ,H2;H5,DQ,H4,D6;H8,H7,H9,H3;H6,HA,DK,HK"
1571471741,0,14,0,"CK,C9,CQ,C2;S7,S3,S9,S2;D9,D7,DK,D3;D5,SQ,S6,S4;SJ,S10,D6,S8;S5,D10,SA,SK;C8,C4,DJ,C3;C7,H3,CJ,C5;C6,CA,H6,C10;HA,H10,D4,D2;DQ,HJ,H9,D8;H8,H5,HK,DA;H7,H4,HQ,H2"
1571471741,0,21,0,"C8,C10,CK,C2;S8,S2,SJ,S3;S7,SK,S4,S5;S6,S10,S9,SQ;C7,C4,C9,C3;CJ,C5,D6,SA;D4,D2,DQ,D5;DA,D10,D8,DK;D9,DJ,H4,D7;H6,H5,CQ,C6;HQ,HK,HA,D3;H2,H9,HJ,H3;H10,CA,H7,H8"
1571471741,0,5,0,"C6,CA,C3,C2;S8,S10,SQ,S5;SJ,S4,S7,S9;C5,S3,C4,S6;C8,S2,C7,SK;C10,CJ,D3,CK;D2,SA,D7,D10;D8,C9,D4,DJ;D6,CQ,D9,DQ;D5,H3,H4,DK;H2,H9,H7,DA;H6,HK,HJ,H8;HQ,H10,H5,HA"
1571471741,0,4,0,"C10,C5,C4,C2;S10,S6,S9,S5;S7,SQ,S8,S2;C6,CQ,CA,CK;D3,C3,S4,S3;SJ,D5,CJ,SK;C7,D8,D6,SA;C8,DA,D7,C9;DJ,H2,H3,D4;H5,H4,DQ,D2;D9,HA,HQ,DK;HJ,H8,H9,H7;HK,H6,H10,D10"
1571471741,0,21,0,"CJ,C4,CK,C2;S10,SQ,S4,S5;C8,S8,S3,S7;S2,SA,C9,S6;D2,SJ,C3,SK;D3,C10,DJ,C5;DQ,C6,D4,S9;DK,C7,D5,CQ;H3,D6,DA,CA;H5,D9,H2,D7;HK,HJ,HA,D8;HQ,H10,H8,D10;H7,H9,H6,H4"
1571471741,0,11,0,"C5,CQ,C4,C2;SA,S7,S3,S2;SQ,S4,S5,S6;CJ,CA,C8,C7;S9,C9,C6,C3;CK,D6,S10,C10;D8,SJ,D2,S8;D3,D5,DQ,D4;DK,H2,D10,DJ;H3,D9,DA,D7;H4,H8,HA,H5;HQ,HK,H10,SK;H6,H7,H9,HJ"
1571471741,0,5,0,"CJ,C7,C8,C2;S10,S2,S7,SJ;C10,CK,C4,C3;S5,C6,S8,S6;SQ,SA,CA,S9;D2,C5,SK,S3;S4,D3,D4,C9;D5,D6,D9,CQ;DQ,DK,DA,D7;D8,D10,H7,DJ;H4,HJ,H9,H5;H10,H8,H3,H2;HA,H6,HK,HQ"
1571471741,0,9,0,"C8,CA,C6,C2;SQ,S5,S9,SA;C7,CQ,CK,C5;D8,S8,S7,S6;S2,SK,DQ,S3;H3,S4,CJ,C3;D6,H5,D4,D2;HA,H9,H6,C4;HK,H7,H4,C9;HQ,DA,H2,C10;HJ,D10,D5,D3;DK,DJ,H10,S10;D7,D9,H8,SJ"
1571471741,0,12,0,"C6,C10,CK,C2;S7,S6,S2,S3;S5,S10,S9,S4;CJ,SQ,C7,C3;D4,SJ,C5,S8;D2,D7,DA,D3;D10,D8,D6,D9;D5,SK,DK,DJ;H3,C9,SA,DQ;HK,HA,HJ,H2;C8,HQ,H8,CQ;C4,H10,H5,CA;H7,H6,H4,H9"
