1571886364,0,16,1,"C9,CK,CA,C2;CQ,C8,C3,C4;C7,C6,C5,C10;D3,D6,DJ,D2;HK,HJ,SQ,CJ;D4,H8,D5,D7;DA,H7,HA,D8;H5,HQ,D9,H4;D10,H2,S5,H10;S3,H9,S6,H6;SJ,H3,SA,DQ;S10,S4,S9,DK;S8,S2,S7,SK"
1571886364,0,0,1,"C10,C5,CK,C2;CQ,C4,CA,C6;DJ,D2,D4,D6;CJ,DK,DA,C8;HA,HK,D10,C3;HQ,H10,HJ,C7;H7,H9,H6,C9;D9,H8,D7,DQ;S9,S6,S7,S2;H5,D3,SQ,H2;D5,S10,D8,H4;S3,SK,S5,H3;S4,SA,S8,SJ"
1571886364,0,4,1,"C7,C8,CQ,C2;CA,C6,C3,C4;DA,CK,CJ,C5;DQ,DK,D5,D6;D9,DJ,C9,C10;D4,D10,D3,D7;D2,SQ,HA,D8;H9,H5,H2,H3;H8,S2,H7,H6;S6,HK,S5,H4;S8,S3,SJ,HQ;S9,S4,SK,HJ;S10,S7,SA,H10"
1571886364,0,4,1,"CA,C8,CK,C2;DA,C4,C3,C5;DJ,C10,CJ,C6;CQ,D6,C9,C7;D5,DQ,DK,D2;D8,H10,D7,D3;H9,HJ,H4,H2;HA,HK,H8,H6;HQ,H7,D4,D9;SA,H3,H5,D10;S9,S4,S6,S7;S10,SJ,SK,S2;S5,S3,S8,SQ"
1571886364,0,14,1,"CK,C6,CQ,C2;CA,C4,C5,C3;DQ,DK,D4,D2;C10,DA,D3,D5;DJ,D9,C9,D6;H8,C8,D7,C7;S6,S9,S5,S7;H6,HA,HK,CJ;H3,HQ,H10,D8;SJ,H5,H7,D10;S2,S8,H4,HJ;S3,SK,H2,H9;S10,SA,S4,SQ"
1571886364,0,7,1,"CK,CJ,CA,C2;C9,CQ,C3,C4;DA,D4,D10,D2;C10,C8,DQ,C5;SQ,D9,C6,C7;D5,D8,D7,DJ;HA,HK,D6,DK;HJ,HQ,H5,H3;H8,H9,H10,H7;SA,S10,SK,S3;H2,S5,S4,H6;D3,S6,S7,H4;S9,SJ,S8,S2"
1571886364,0,3,1,"C8,CK,CA,C2;C5,DA,C4,C6;DJ,DK,C7,C9;D10,D3,D2,D4;D9,CQ,D5,D6;CJ,DQ,D8,D7;SA,S10,S3,S4;S8,C10,S9,S2;SJ,S7,C3,SQ;H6,HJ,H4,H2;HK,HA,H3,H5;S5,H9,H10,H8;HQ,SK,S6,H7"
1571886364,0,0,1,"C10,CQ,CA,C2;CJ,C3,C4,C6;C9,DK,CK,C5;DJ,C8,D10,C7;D8,D4,D9,D3;DA,D7,D2,D5;HA,SQ,D6,DQ;SA,SJ,SK,S3;S7,S8,HK,S2;HQ,HJ,H3,H4;H10,H9,H2,H8;S4,S6,H6,S5;H5,S10,S9,H7"
1571886364,0,0,1,"CJ,CQ,CA,C2;CK,C3,C5,C4;C9,DA,C8,C6;D10,D9,DK,D2;H8,H7,C7,C10;DQ,H5,D4,D5;S2,H2,HA,H6;D8,SA,D3,DJ;S6,SK,S3,S4;S8,S7,H4,S5;HK,H3,S9,HQ;D6,S10,HJ,H10;SQ,D7,SJ,H9"
1571886364,0,1,1,"C9,C8,CA,C2;C4,C6,C7,C10;C3,SQ,C5,CJ;D8,DA,DK,CQ;D7,DQ,D9,CK;D5,D3,D2,D4;S8,S10,SJ,S5;HQ,D10,D6,DJ;SA,S4,S2,S6;S3,S9,HK,S7;HJ,H9,H3,H5;H6,H2,H4,H8;SK,HA,H7,H10"
1571886364,0,4,1,"C10,C4,C7,C2;CJ,SQ,CA,C3;C8,C9,DK,C5;DQ,D9,D2,D3;D7,D6,DJ,D5;D10,D4,DA,D8;HJ,HA,CK,C6;HK,H5,H3,H4;H8,HQ,H7,H6;S7,S4,S9,S2;S10,H9,H10,H2;S8,SA,S5,S3;CQ,SK,S6,SJ"
