1571897625,0,0,1,"CQ,C10,CK,C2;CJ,C8,CA,C3;DK,D10,DQ,D4;C9,C5,DA,C7;C4,D9,D8,C6;DJ,D7,D6,D2;H7,HA,D3,D5;SK,S9,S2,S3;S7,S8,SA,S5;SJ,S4,HK,SQ;H6,H2,H4,H5;H10,HQ,HJ,S6;H8,H3,H9,S10"
1571897625,0,1,1,"C9,CJ,CK,C2;C10,C4,C8,CQ;DA,D4,DQ,D5;C3,C5,DK,C6;D2,CA,DJ,C7;D10,D6,HJ,D7;HA,H9,H5,H3;SA,D9,HQ,D3;H7,HK,S4,H4;S5,H10,H6,H8;S2,D8,S8,H2;SJ,S6,S10,SK;S7,S3,S9,SQ"
1571897625,0,0,1,"CQ,C5,C8,C2;CK,C7,CA,C4;DQ,CJ,C3,C6;D8,D9,D10,D3;DA,SQ,D2,D4;H6,DJ,HJ,D5;H10,HA,H5,C9;H4,H7,H3,C10;S4,H2,S2,HK;S8,D6,S3,HQ;SJ,D7,S5,H9;SK,DK,S6,H8;SA,S10,S7,S9"
1571897625,0,19,1,"CQ,C7,CJ,C2;C6,C8,CA,C3;C5,DK,SQ,C4;D9,D4,D7,D6;DA,CK,DQ,D3;C10,DJ,D5,D2;HJ,D10,C9,D8;HA,HK,H6,H5;H10,S2,H2,H4;S3,H8,H3,H9;S6,S4,HQ,H7;S9,SA,S7,S8;SK,SJ,S5,S10"
1571897625,0,0,1,"C9,C5,C8,C2;CK,C6,CA,C7;DA,C10,C4,CJ;D8,DQ,D6,D3;C3,DK,D7,CQ;SQ,D10,D2,DJ;S9,SK,S5,S6;HA,H9,HK,D4;H7,H8,HQ,D5;H4,H5,HJ,D9;S3,SA,S4,S7;H6,SJ,S2,S8;H2,S10,H3,H10"
1571897625,0,0,1,"CK,CA,DA,C2;DJ,C6,C5,C7;D9,C9,C4,C10;D8,CJ,D7,CQ;D4,C8,D6,D10;D3,C3,D5,DQ;D2,HA,H10,DK;HQ,HK,H7,H5;S9,SA,SJ,S2;H9,H8,S3,H2;H6,S4,HJ,H4;S10,S7,S8,SK;H3,S6,S5,SQ"
1571897625,0,1,1,"CJ,C8,C10,C2;CA,C5,C7,C9;C3,CQ,SQ,CK;DA,DJ,D3,D4;D8,D10,DK,D2;D9,D5,HA,D6;H9,HK,H4,H6;S10,S9,S3,S4;H8,H7,HJ,H3;HQ,H5,C4,H10;H2,C6,SA,D7;S8,SK,SJ,DQ;S6,S2,S7,S5"
1571897625,0,1,1,"CA,C9,C10,C2;C7,C3,C5,C8;C6,DA,C4,CJ;D5,D2,D3,D4;S9,SQ,SK,S2;HA,DK,D6,D7;H10,HK,HQ,H8;H7,D9,D10,D8;HJ,S3,H6,H3;SA,DQ,CK,DJ;CQ,H9,S7,H5;S10,H4,S4,S5;H2,S6,SJ,S8"
1571897625,0,19,1,"CA,CK,C4,C2;C10,D9,C5,C3;D8,DJ,CQ,C6;C9,D3,D7,C8;HK,HA,CJ,C7;DA,D2,HQ,D4;H10,H3,H5,H2;H9,SQ,HJ,H8;H6,S2,D5,H7;H4,S8,DQ,D6;DK,SK,S6,D10;SJ,S5,S10,S7;S3,S9,SA,S4"
1571897625,0,13,1,"CA,C8,C10,C2;CQ,C9,C3,C4;C5,C6,CJ,C7;DQ,D8,DK,D7;DA,D10,SQ,CK;SK,S3,S6,S7;D3,D6,HK,D9;H8,H6,H4,H2;D2,HQ,HA,H7;H5,D5,HJ,DJ;H3,D4,H9,H10;S10,S8,SA,S2;S4,S9,S5,SJ"
1571897625,0,0,1,"CA,C6,CQ,C2;CK,C4,C3,C7;C8,C10,CJ,C5;D10,DA,DK,C9;H8,D7,D9,D2;H9,S2,H3,H4;S3,H6,HA,H5;H2,S5,D3,HK;SQ,S6,D6,HQ;D4,S8,DJ,HJ;D5,S10,DQ,H10;D8,SJ,S4,H7;S7,SA,S9,SK"
1571897625,0,15,1,"C10,C7,CA,C2;CQ,C5,C6,C4;C8,DK,CK,C3;SQ,DA,DQ,C9;D9,D5,D10,CJ;D7,D4,D8,DJ;S8,S4,S3,S5;D3,D6,H10,D2;S6,HA,S9,S2;HQ,H9,HJ,H5;SA,H8,HK,S7;H6,H2,S10,H3;H7,SJ,SK,H4"
1571897625,0,0,1,"CA,CQ,CK,C2;CJ,C10,C3,C4;DK,D9,D7,D10;DA,D6,DJ,D2;C5,HK,SQ,C6;C9,H9,HA,C7;H5,HQ,HJ,C8;H4,D8,D5,DQ;SK,S3,S5,S6;D3,H6,H10,H3;H2,D4,S4,H8;S2,S9,S7,H7;SJ,S10,S8,SA"
