1571904121,0,0,2,"CQ,C8,C9,C2;CA,DQ,CK,C3;D8,DK,CJ,C4;C10,D6,D10,C7;D5,D4,SK,C5;H9,HA,DA,C6;D2,HQ,D7,D9;S8,S10,HK,S4;HJ,H10,H4,H7;SQ,S2,H6,H2;H8,S5,S7,S9;D3,SJ,S3,H3;DJ,SA,S6,H5"
1571904121,0,0,2,"CA,C8,CQ,C2;C7,CJ,CK,C3;D8,C5,C10,C4;C6,D5,SQ,C9;D9,D2,D3,D6;HJ,DQ,DK,D4;HK,H10,D10,DJ;S2,SJ,SA,S4;H9,HQ,H4,D7;H8,H7,H2,DA;S9,H6,S5,S6;H5,S10,SK,S7;S8,H3,S3,HA"
1571904121,0,1,2,"CA,C10,SA,C2;C7,SQ,C8,C9;C6,SK,CJ,CQ;C5,DK,C4,CK;D10,DJ,D4,D5;DA,D9,D2,D6;HJ,HA,HK,C3;D7,D8,H10,D3;H7,HQ,H6,H4;H5,H9,S10,DQ;S5,S9,S3,S6;S7,SJ,S4,S8;H2,H3,S2,H8"
1571904121,0,4,2,"CK,C9,CA,C2;CQ,CJ,C8,C10;SQ,C7,DK,C3;D10,C5,SA,C6;D6,D4,DA,D3;D8,HK,D2,D5;H9,H5,H4,H2;C4,H10,H6,H8;HA,H7,SJ,D7;HQ,H3,S9,D9;HJ,S6,S8,DJ;SK,S4,S7,DQ;S10,S3,S5,S2"
1571904121,0,0,2,"CQ,C10,CA,C2;C9,CJ,C8,C4;DQ,D7,DA,D2;SK,C7,CK,C3;C6,DK,DJ,C5;S10,S3,S6,S7;D10,D3,SQ,D4;D5,SA,D8,D6;D9,S5,SJ,S2;HQ,HJ,H4,H5;H9,HK,HA,S4;H6,H10,H8,S8;H3,H2,H7,S9"
1571904121,0,8,2,"C10,C8,CQ,C2;CA,C7,C3,CJ;C6,CK,SA,C4;DA,D9,D10,D3;DQ,D4,DJ,D2;SQ,D8,DK,C5;SK,D7,D5,C9;S10,S4,S8,S5;S2,HK,H9,S3;SJ,HQ,H7,S6;H10,H5,HA,D6;H8,H4,S7,H6;H3,S9,HJ,H2"
1571904121,0,12,2,"C10,C8,CA,C2;C5,C9,SQ,C3;DK,CK,C4,C6;CJ,SA,D9,C7;D4,D8,DA,D5;DQ,D3,D7,CQ;DJ,HA,D6,D10;H10,HK,HQ,H6;H8,HJ,H9,D2;SK,S7,S8,S9;S10,S6,SJ,S2;S3,H3,H4,H5;S4,H2,S5,H7"
1571904121,0,1,2,"C8,CQ,CK,C2;DA,D6,D7,D2;C4,C10,SQ,C5;SK,CA,C3,C6;SA,C7,DJ,C9;D10,D4,D9,CJ;D5,HK,D8,DQ;HA,HQ,H3,H7;S10,SJ,S5,S6;DK,HJ,S7,D3;H10,S2,H8,H5;S4,S9,H4,S8;H2,H9,S3,H6"
1571904121,0,5,2,"C5,C10,CQ,C2;CA,C4,C3,C7;SQ,CK,CJ,C6;DA,D9,D7,D4;SK,D6,DQ,C8;D8,D5,DJ,C9;HQ,HA,H10,D2;H3,HK,H6,D3;SJ,HJ,H5,D10;S2,H9,H4,H7;S7,S3,S6,S8;S4,DK,S9,H2;S5,SA,S10,H8"
1571904121,0,0,2,"CQ,CK,CA,C2;C9,C7,C5,C8;DK,D4,DA,D2;DQ,C10,C4,CJ;D9,D3,SK,D5;SQ,HA,D7,D8;H7,HK,HQ,H4;D6,H3,H6,H5;H9,DJ,HJ,C3;H8,D10,H10,C6;S10,S4,S6,S2;SA,S3,SJ,S5;H2,S8,S9,S7"
1571904121,0,0,2,"CJ,C8,CK,C2;CA,C3,DK,C4;C7,DQ,CQ,C9;DJ,D4,D3,D6;C6,D10,SQ,C10;D9,D8,DA,D2;D5,HJ,HA,D7;H9,H8,H6,H2;H4,H5,HK,H7;SA,S7,SJ,S4;S3,S6,S9,S8;H3,C5,S5,H10;SK,S2,S10,HQ"
