1571478934,1,13,1,"C7,C9,CJ,C2;S8,S5,S10,S3;S9,SQ,SK,S7;CK,CQ,S2,CA;DA,D5,D3,D2;C5,S4,D4,C3;S6,D6,C8,C4;C10,SJ,D8,C6;DQ,D10,D7,D9;H4,DK,DJ,SA;H9,H10,H3,H6;H2,HJ,H7,HQ;HA,H8,H5,HK"
1571478934,1,13,1,"CQ,C4,C7,C2;SA,S3,S4,S2;S8,S5,D2,S9;S7,S10,D6,SJ;S6,C3,D10,SQ;C5,C10,DJ,SK;C6,CK,DA,C8;H3,D3,D4,D5;H5,D7,DQ,D8;DK,HK,H2,D9;H10,CA,H4,H6;CJ,H8,H7,H9;C9,HA,HJ,HQ"
1571478934,1,0,1,"C6,C8,C3,C2;S8,S9,S2,S3;S7,S10,S6,SJ;SQ,D3,C7,SK;CA,D5,C9,C4;D6,C10,C5,S4;D8,CJ,CK,S5;D9,CQ,D4,SA;D10,DJ,DQ,D2;H4,H5,H6,H7;H10,H9,HJ,HQ;H8,H2,DK,HK;H3,DA,D7,HA"
1571478934,1,3,1,"C6,C8,C10,C2;SA,SJ,S2,S3;S7,S8,SQ,SK;C4,C7,C9,CJ;C3,C5,CQ,CK;D4,D5,D6,D2;D7,S5,CA,S6;DK,S4,D8,S9;H3,D3,D10,S10;H7,H2,DA,D9;DQ,HQ,HA,DJ;H9,H4,H6,H5;HK,H8,H10,HJ"
1571478934,1,4,1,"C9,CJ,CQ,C2;S3,S7,S6,S2;SK,S5,S10,S8;S4,SA,S9,SJ;C8,C3,C5,C6;CK,C4,C7,SQ;DJ,D8,DA,D2;D3,CA,D4,C10;H5,D6,DQ,D5;D9,H6,DK,D10;H10,H4,HQ,H3;H8,H9,H2,H7;D7,HJ,HK,HA"
1571478934,1,14,1,"C4,C7,C8,C2;SK,SA,S2,S4;S8,C6,S9,S10;C10,C9,C5,CJ;CK,D7,C3,CQ;DK,S5,CA,S6;H3,S3,D3,S7;H5,SQ,D4,SJ;D6,D8,HK,D2;HQ,DQ,DA,D5;H7,HJ,H6,H2;DJ,H8,H4,H9;D9,HA,D10,H10"
1571478934,1,0,1,"C8,CK,CA,C2;S7,S8,C5,S9;S6,S10,C10,SJ;S4,SQ,CQ,SK;S3,S5,D3,SA;C6,C7,D4,C3;DJ,D7,D8,D9;D6,D2,DK,D10;H6,H9,HJ,H2;H3,DQ,C4,S2;HA,HK,C9,CJ;H7,HQ,D5,DA;H5,H4,H8,H10"
1571478934,1,11,1,"C6,C7,C9,C2;SJ,SQ,SK,S2;CJ,S5,S8,S4;S6,D2,S3,S7;C3,D3,C4,C5;CA,D5,C8,C10;D7,S10,D4,SA;DJ,CK,D6,CQ;D9,DK,DQ,S9;DA,H2,H5,D8;H7,HJ,HA,H9;HK,H4,H8,D10;H10,H3,H6,HQ"
1571478934,1,13,1,"C6,C7,C4,C2;S4,S3,S2,S5;C9,S6,S10,S7;S8,CJ,SJ,S9;CK,C10,CA,C3;D8,DA,D5,D2;SK,D9,C5,SQ;D10,D3,D6,D4;H9,HK,H2,H3;D7,H6,C8,SA;DQ,HA,H7,DK;H10,HQ,H4,H5;CQ,H8,DJ,HJ"
1571478934,1,1,1,"CA,C3,C4,C2;S9,SK,S3,S4;S6,S10,C5,S5;C7,S7,S2,S8;C8,SA,C9,SJ;C10,C6,CJ,SQ;D2,D3,D4,D5;DK,D7,D8,D9;CQ,H2,D10,CK;DQ,H4,DA,DJ;H6,H7,H5,H8;H9,HK,HQ,H10;HJ,HA,H3,D6"
1571478934,1,20,1,"C8,C3,C9,C2;S6,SK,S3,S5;SJ,SA,S4,S8;C5,SQ,S7,S9;CK,S10,C6,C4;D7,C7,CA,S2;D8,CJ,D3,C10;D9,CQ,DQ,D2;D10,D6,H4,DJ;D5,DK,H5,DA;H9,HQ,HA,H3;H8,H7,HJ,H10;HK,H6,H2,D4"
1571478934,1,12,1,"CQ,C7,CK,C2;S3,S7,S8,S2;S4,S9,S6,S5;SK,C6,SJ,SA;C5,CA,C9,C4;D10,D7,DQ,D2;D5,S10,C8,SQ;D9,D4,CJ,C3;H3,DJ,D8,C10;H4,DK,H7,D3;H10,D6,HK,DA;H9,H2,H6,HJ;H8,HQ,H5,HA"
