1571896243,1,0,2,"CQ,CA,C6,C2;SQ,C3,C5,C7;DA,CK,C4,C8;D6,C9,DK,C10;D2,DQ,D3,D4;H10,HJ,HA,CJ;D9,D8,HK,D5;S8,SJ,SA,S3;H9,D7,HQ,D10;H8,H5,H4,DJ;S7,H3,S5,H7;S9,H2,S6,H6;SK,S2,S10,S4"
1571896243,1,13,2,"CA,C3,C6,C2;CK,D8,C4,C5;D7,CQ,C9,C7;DA,C8,D3,C10;D10,D2,HQ,D4;HA,HJ,H5,H2;H7,H8,HK,CJ;H6,D6,D5,D9;H4,DQ,H9,DK;S4,H3,S2,H10;SA,SK,S5,S6;S9,S3,S8,S7;SJ,SQ,S10,DJ"
1571896243,1,5,2,"CQ,CJ,CA,C2;DQ,C5,C6,C3;CK,D10,DK,D2;DA,C10,D8,D9;C9,D7,SQ,D3;HJ,DJ,C8,D4;H10,HA,H5,H3;H7,HQ,H4,H6;C4,HK,H2,H9;SJ,S8,S3,S4;H8,SA,S10,S2;S9,S7,D6,C7;S5,S6,D5,SK"
1571896243,1,17,2,"CQ,CK,CA,C2;C8,C3,C5,C6;C9,DQ,CJ,C4;DK,C7,D6,C10;D3,DA,HA,D2;HQ,H10,HK,H4;D5,H3,H9,H8;H7,D10,HJ,D4;H2,DJ,H6,D7;H5,D9,SK,D8;S7,S8,S6,S9;S5,S2,S3,S10;S4,SQ,SA,SJ"
1571896243,1,15,2,"C10,C9,CK,C2;C3,C5,C6,C7;D8,DA,C8,CJ;D6,DQ,C4,CQ;D3,D2,D9,D4;H9,HK,DJ,CA;DK,H10,D10,D5;H8,HA,HQ,H7;HJ,H6,H5,H4;H3,S7,SJ,D7;SA,S6,S5,S8;S3,S2,SQ,H2;S4,S10,S9,SK"
1571896243,1,3,2,"C5,C10,CK,C2;CA,C3,C6,C7;DJ,DQ,CQ,C4;CJ,H9,HA,C8;D4,H5,H4,H2;H10,H7,D5,H3;H6,D6,HK,H8;SQ,C9,D7,HQ;D2,D3,D10,HJ;S2,S10,SJ,S3;SK,DA,SA,S5;S9,S7,DK,D8;S6,S8,S4,D9"
1571896243,1,4,2,"CK,CA,C7,C2;C6,DQ,C5,C8;SQ,D3,C9,C10;HK,HA,C4,CJ;HQ,HJ,H9,H3;H10,H7,CQ,H4;H5,D4,H2,H8;C3,D8,D6,H6;S9,SJ,SK,S2;SA,D9,DA,D10;S6,S10,D7,DJ;S5,S7,D5,DK;S3,S4,D2,S8"
1571896243,1,13,2,"C10,C7,CJ,C2;CA,C4,C6,C9;DA,CK,D10,C3;D9,DJ,D8,DQ;S3,S7,S6,S8;D7,S5,S2,S9;D6,S10,SJ,SQ;HJ,HK,H2,H4;HQ,HA,H9,C5;D5,H10,H6,C8;D4,H8,H3,CQ;SA,H7,D3,DK;SK,H5,D2,S4"
1571896243,1,4,2,"CA,CQ,CK,C2;C10,C7,C6,C8;CJ,C5,C9,C3;SQ,DQ,DA,C4;DK,D2,D9,D3;HQ,D8,D7,D10;H7,H10,H2,H5;D6,DJ,H6,D4;H3,D5,HA,H4;S2,S4,S5,HK;S3,S8,S6,HJ;S10,S9,S7,H9;SA,SK,SJ,H8"
1571896243,1,3,2,"CK,C4,C9,C2;CA,C3,CQ,C5;DA,D7,D3,D8;DK,CJ,DQ,D2;H9,HK,D4,D5;C6,HJ,H3,H5;HA,H10,C7,H6;H4,C8,H8,HQ;SQ,C10,S2,H7;D6,S7,S4,H2;DJ,SK,SA,D9;S9,S10,SJ,D10;S8,S6,S3,S5"
1571896243,1,8,2,"C5,CK,CA,C2;CQ,SQ,C3,C4;DK,C10,C7,C6;D5,C8,D10,C9;D3,D4,HQ,D6;HA,HJ,H3,H4;H5,H8,H7,H2;D8,HK,CJ,H6;D7,S2,D9,H10;DJ,S3,S4,H9;DA,SA,SK,D2;S10,SJ,S7,DQ;S5,S8,S6,S9"
1571896243,1,0,2,"C8,C10,CK,C2;CA,C6,C9,CQ;DA,C3,SQ,C4;DJ,C7,D4,C5;D2,D7,D9,D5;DQ,HK,D6,D8;HJ,CJ,HA,H4;S6,S10,SK,S2;H8,D10,H9,D3;S3,SJ,SA,S5;HQ,H5,S4,S7;H10,H3,S8,S9;H6,H2,DK,H7"
