1571897958,1,19,0,"CA,C9,C10,C2;CK,C7,C5,C6;DQ,C3,C8,C4;DA,D9,D2,D3;D8,DJ,DK,D6;HA,HK,D5,D7;H9,HQ,H7,H5;CJ,H2,H6,H8;CQ,HJ,S2,H4;S6,H3,D4,H10;SK,S10,SA,D10;SJ,S4,S5,S8;S9,S3,SQ,S7"
1571897958,1,1,0,"C8,CQ,CA,C2;CK,DK,C4,C5;D7,C7,C9,C3;CJ,D6,C10,C6;HK,DJ,DA,D2;HA,H2,HJ,H3;HQ,H10,SQ,H4;H7,D4,H9,H8;H5,D8,D10,D5;SJ,S8,SA,S2;S3,D9,S4,H6;S10,DQ,S7,D3;S5,SK,S6,S9"
1571897958,1,0,0,"CJ,C10,CK,C2;C7,C8,C3,C9;C6,D2,CA,CQ;D4,D3,HK,D5;DK,D6,HQ,D7;H2,H10,HA,H3;HJ,SQ,H9,H5;C4,H8,D9,H6;D10,DJ,C5,H7;DQ,S4,D8,H4;S6,S9,SJ,S3;SK,S2,S7,S8;DA,SA,S10,S5"
1571897958,1,6,0,"CK,C10,CQ,C2;C9,D9,CA,C3;CJ,C8,D7,C7;DA,D5,SQ,C4;H8,HQ,DK,C5;H6,HJ,HA,C6;DQ,H10,D3,D2;H7,HK,D8,D4;DJ,H3,H9,D6;H2,H4,H5,D10;SA,SJ,SK,S2;S9,S5,S6,S3;S7,S4,S10,S8"
1571897958,1,0,0,"CQ,C8,CK,C2;C6,C10,C7,CJ;D10,DA,D2,D3;C4,SQ,C5,C3;DQ,DK,D6,D4;D5,D9,C9,CA;HQ,H9,DJ,D7;HA,HJ,H4,H3;S10,S9,SJ,S2;HK,H7,H8,D8;SA,S6,SK,S3;H6,S8,S5,S7;S4,H10,H5,H2"
1571897958,1,0,0,"CA,C9,CQ,C2;C6,DK,C4,C5;DJ,CJ,CK,C3;DA,D10,C7,C8;DQ,D6,D9,C10;D7,D5,D2,D8;SJ,SA,S2,S3;HJ,S8,S9,S4;HA,H10,SQ,D3;HK,H8,HQ,D4;SK,H7,S6,S5;H3,H6,S7,S10;H2,H4,H9,H5"
1571897958,1,16,0,"C10,C6,C8,C2;C5,C7,CA,C3;C9,SQ,C4,CJ;DQ,DA,D6,CQ;D10,DK,D5,CK;D7,D8,D4,D3;SA,S2,S6,S3;DJ,D2,S7,S8;HA,HK,S9,S10;HJ,HQ,H3,H4;S4,H2,H7,H5;H9,S5,H10,H6;D9,H8,SK,SJ"
1571897958,1,22,0,"CA,C6,CQ,C2;DK,CJ,SQ,C3;D10,CK,DQ,C4;DJ,C5,D9,C7;D8,C10,D7,C8;D2,C9,D5,D3;DA,HA,H10,D4;HQ,H9,HJ,D6;SK,S2,S4,S5;H3,H8,HK,H2;H7,S6,H4,H6;SA,S3,S8,S7;SJ,H5,S9,S10"
1571897958,1,4,0,"CA,CQ,CK,C2;CJ,C5,C4,C6;C7,C10,SQ,C3;D10,D7,D9,D5;DA,D6,DK,D3;HQ,H7,HA,C8;H8,H5,H3,H4;D8,HJ,H9,H2;HK,S6,DJ,H10;SK,DQ,H6,C9;S10,SJ,SA,D2;S8,S5,S9,D4;S7,S2,S4,S3"
1571897958,1,10,0,"C10,CA,DA,C2;SQ,C6,C9,C3;CQ,DJ,CK,C5;C7,C8,D10,CJ;DK,D6,D7,D2;DQ,D3,D8,D4;HK,H9,D5,C4;H10,H7,HA,D9;SJ,S4,SA,S3;HQ,H8,H6,H4;S9,S2,S6,S8;H5,HJ,S10,H3;SK,S7,H2,S5"
1571897958,1,8,0,"CA,C8,CJ,C2;CK,C7,C9,C3;C4,SQ,C6,C5;D7,DK,D2,D4;DA,D10,CQ,C10;DJ,DQ,D9,D3;S7,SK,SA,S4;HK,D8,D6,D5;SJ,S6,S10,S3;S5,S9,HQ,S2;H8,HA,H4,S8;H7,HJ,H3,H6;H2,H9,H5,H10"
