1571244979,2,4,3,"C5,C8,CA,C2;S8,S6,S4,S3;S10,SA,S2,SQ;CQ,S7,C4,C6;SJ,C7,S5,S9;D4,DK,D6,D7;D8,CK,SK,C9;D9,D2,C3,DQ;DJ,D5,C10,H5;DA,D10,CJ,H6;H4,H9,D3,H7;HQ,H10,H2,HJ;HK,H3,H8,HA"
1571244979,2,0,3,"CA,C3,C10,C2;S7,S3,S2,S9;SK,SJ,S5,S6;SA,S8,S4,C8;C7,CQ,C4,CK;C9,C6,SQ,CJ;D2,DJ,DA,D4;D7,DQ,D9,D10;H5,S10,C5,D5;H6,DK,D6,H2;D8,H7,D3,H3;H10,H8,H4,HK;HJ,HA,H9,HQ"
1571244979,2,22,3,"CQ,CJ,CK,C2;C3,S3,S2,S4;C5,SQ,S9,S6;SK,C6,S5,SJ;D4,DQ,D2,D6;D3,C8,S8,S7;D9,D5,S10,C4;DK,D8,SA,C9;DA,DJ,C7,C10;H2,D10,H3,D7;H6,H4,CA,H5;HK,HA,H10,HQ;HJ,H7,H8,H9"
1571244979,2,4,3,"C7,CA,C4,C2;S7,SA,S2,S4;SJ,CJ,S9,SQ;S10,S8,D2,S3;C5,D4,CK,C6;DA,D7,D3,D8;D6,D5,S5,SK;DJ,C8,D10,C3;DK,H2,S6,C10;H4,H7,C9,CQ;H8,D9,H5,DQ;H9,H10,H6,HJ;HQ,H3,HA,HK"
1571244979,2,4,3,"C3,C9,C5,C2;S4,S6,S3,S2;S7,S8,S5,C6;S9,SQ,SJ,C8;C4,SK,S10,C10;CA,D3,C7,CK;D4,CQ,SA,CJ;D6,DJ,D2,D8;DK,D10,D7,D5;H4,D9,DQ,H6;H7,H2,DA,H9;H10,HA,H3,HQ;H8,HK,H5,HJ"
1571244979,2,5,3,"C8,C9,CK,C2;SQ,SJ,S2,S5;S6,SA,S3,S8;SK,C4,S4,C3;D2,S7,S10,C7;D4,C5,CA,C10;D5,D3,D6,D8;DK,D7,C6,CQ;H3,D10,DA,DQ;H7,D9,S9,H2;HJ,DJ,CJ,H5;HA,HQ,H8,H10;H4,H9,HK,H6"
1571244979,2,0,3,"C8,CQ,CK,C2;S8,S4,S2,S7;S9,S5,SJ,C9;CJ,C6,C3,C10;S3,CA,S6,D8;C4,D3,S10,DQ;C7,D4,SQ,DK;D5,D9,SK,H5;D7,D10,SA,H6;H2,DJ,C5,H7;H9,DA,D2,H8;H3,H10,H4,HK;HQ,D6,HJ,HA"
1571244979,2,13,3,"CK,C3,C8,C2;SJ,S8,S6,S4;S9,C5,S5,S7;C6,SK,SQ,S2;C7,C9,SA,S3;CJ,CA,C10,C4;D10,DK,D2,D4;D5,D8,D7,D9;D3,CQ,DJ,S10;DA,DQ,H3,D6;H6,H8,H5,HA;HK,H2,H4,H7;H10,HQ,H9,HJ"
1571244979,2,4,3,"CK,C7,C9,C2;SQ,SJ,S5,S7;S9,S8,S4,SK;S6,C4,S3,S2;C8,C10,CJ,CQ;CA,D5,D4,S10;D3,D9,D7,SA;D6,D10,D8,C3;DK,DJ,H3,C5;DA,DQ,H4,C6;H6,H8,H5,D2;HJ,HK,H7,H2;HA,HQ,H9,H10"
1571244979,2,13,3,"CK,CA,C6,C2;SQ,S9,S5,S7;C4,S8,S3,S6;SJ,C9,SK,S2;C3,D5,SA,S10;C7,D9,C8,C5;D3,D10,C10,S4;D4,DA,CJ,D2;D7,H4,CQ,DQ;D8,H6,D6,DK;HK,H9,H7,H2;H3,H5,HJ,HQ;HA,H10,DJ,H8"
1571244979,2,4,3,"C8,C9,CA,C2;SA,S2,S5,S7;S3,C10,S4,SK;S10,SQ,CK,S8;D4,C5,C6,C4;D6,CQ,C7,CJ;D2,DQ,S6,S9;D9,DJ,H3,D5;H6,SJ,D3,DK;C3,D10,H8,D8;H9,H5,D7,DA;HK,H7,H10,H2;H4,HJ,HQ,HA"
1571244979,2,0,3,"C5,C9,C6,C2;S5,S4,S2,S3;C10,S7,C3,CK;S8,S9,C4,S10;S6,SK,CJ,SJ;D3,D4,D6,DA;D5,D9,CQ,SQ;DJ,D10,CA,SA;H6,DQ,D7,C7;H10,H3,D8,C8;HJ,H4,DK,D2;HA,H9,H5,H2;H7,HK,HQ,H8"
