1571303105,2,5,0,"C9,CK,C6,C2;S4,S5,S6,S3;S2,S10,S8,C4;SQ,SJ,S7,C5;D2,SA,S9,C8;C10,D7,C3,CQ;CJ,C7,DK,CA;DJ,D3,H2,D5;D6,H3,D8,D9;H4,D4,H5,D10;H8,DQ,H9,DA;HQ,H7,HA,H6;HJ,SK,HK,H10"
1571303105,2,4,0,"CK,C8,C3,C2;SK,S5,S7,SA;S8,C7,SJ,S3;S9,CQ,S2,S10;C5,D3,S6,S4;D9,D7,D2,D5;D6,D4,C6,C9;CA,D8,D10,SQ;H2,H5,DJ,C4;H4,H9,DK,C10;H6,H10,DA,CJ;HK,HJ,H3,DQ;HA,HQ,H7,H8"
1571303105,2,1,0,"C10,CK,CA,C2;S6,SJ,S2,SA;S7,SK,S8,S5;S9,S3,S4,C5;C4,C8,C3,C7;C6,CJ,C9,D5;CQ,D3,S10,D7;D2,D6,SQ,D8;D4,DA,D9,H3;DJ,DQ,D10,H4;H2,HQ,H6,HJ;HK,H5,H8,HA;H9,H7,DK,H10"
1571303105,2,2,0,"C9,CQ,C4,C2;S3,S9,SK,S2;S5,S4,SA,S10;C7,C8,C3,C6;C5,C10,S8,S7;CJ,CK,SQ,SJ;DJ,D2,D3,D6;D7,D9,CA,S6;D8,DA,D4,DQ;H9,H10,H2,HK;H5,H8,H3,H4;DK,HQ,D5,H6;HA,D10,H7,HJ"
1571303105,2,23,0,"C6,C3,CK,C2;SA,S4,S2,SQ;SK,S5,S6,S7;D2,D4,D5,D10;CA,D8,CJ,C5;DJ,S3,S8,C9;DQ,S10,SJ,CQ;DA,C10,C4,D7;C7,H4,S9,DK;D3,H8,C8,H3;HQ,HJ,H2,H5;H10,H6,D6,H7;HK,H9,D9,HA"
1571303105,2,5,0,"CJ,C6,C9,C2;SA,S4,S2,S3;S6,SJ,S7,C3;S9,S10,S5,CA;C5,C4,CK,D2;S8,D5,DJ,D8;SQ,D3,DA,D6;H7,H8,H2,H9;SK,DK,H3,D4;H4,C7,CQ,D9;H6,C8,D7,D10;HA,HJ,H10,H5;DQ,HK,C10,HQ"
1571303105,2,0,0,"C7,C6,C9,C2;S6,S9,S3,SJ;C4,C10,C3,CK;D7,D5,DA,D3;SK,S5,S4,D6;S10,S8,S2,D10;S7,CJ,SA,DJ;CQ,CA,C8,H3;D4,DK,D2,H7;D8,H4,SQ,H8;D9,H5,C5,H10;H9,H6,DQ,HJ;HK,HQ,H2,HA"
1571303105,2,8,0,"C8,C6,CQ,C2;S7,S2,S4,S8;SK,SQ,SJ,S3;S10,S9,S5,S6;D2,DA,D3,D8;D5,C9,C4,CK;CA,D9,SA,C3;DJ,D4,C10,CJ;D7,H5,D6,C5;D10,H6,H2,C7;DQ,H7,H4,DK;HJ,HQ,H8,H3;HK,H9,HA,H10"
1571303105,2,4,0,"C3,C4,C10,C2;S6,S3,S9,S10;C6,C9,C5,C8;C7,SJ,S2,CQ;S4,D3,S7,CK;S5,D7,SQ,CA;DQ,D10,D4,D8;D9,D5,S8,D2;H3,D6,SK,DK;H5,DJ,SA,DA;H10,H2,CJ,H4;HQ,H7,H6,H8;H9,HA,HJ,HK"
1571303105,2,7,0,"CA,CQ,CJ,C2;S2,S6,S7,S8;SQ,SK,S5,S4;S10,C3,S3,SJ;C4,CK,D2,S9;C5,D5,D3,SA;C6,D8,D7,C7;C10,D9,D10,C8;DJ,DQ,C9,D4;H2,H3,D6,DA;HJ,H10,H8,H5;H4,H9,DK,HK;H6,HQ,H7,HA"
1571303105,2,0,0,"CJ,C5,CK,C2;S10,S2,S4,S8;SQ,SJ,S3,S9;SK,C4,S7,C9;C6,C3,S5,CQ;C7,C8,S6,CA;C10,D3,SA,D6;D9,D5,D2,D10;DJ,DQ,H2,D8;H5,D4,D7,H6;HJ,HQ,H3,H9;H4,H7,DK,H10;HK,H8,DA,HA"
1571303105,2,0,0,"C4,CA,C6,C2;SQ,S4,S3,S7;S10,SJ,S5,S6;SA,S2,SK,S9;C9,C10,C3,C7;DJ,D10,D3,DQ;CK,D7,C5,S8;D9,D8,CJ,C8;H2,H5,D6,D2;H4,H7,DK,D4;HJ,H9,DA,D5;HA,H10,H3,H6;HQ,H8,HK,CQ"
1571303105,2,0,0,"C5,CJ,CQ,C2;S3,C4,S4,S10;S6,C7,S7,S2;C3,C10,S5,SK;C9,CK,SA,S9;D2,D5,S8,SQ;D3,D6,CA,C6;D4,D7,SJ,C8;DJ,H6,D8,DA;H4,H7,D9,DQ;H5,H8,D10,DK;HQ,H10,H3,HJ;H9,H2,HK,HA"
