1571471170,2,4,1,"CK,C6,C3,C2;SJ,S5,S9,S3;S2,SK,SQ,S8;S7,C4,S10,SA;C5,CQ,C9,CJ;C7,D2,C8,CA;D9,DA,D3,D5;DQ,D10,S4,D4;D6,H3,D7,S6;D8,H6,DK,C10;HK,HJ,HQ,DJ;H7,H9,H2,H5;H4,HA,H8,H10"
1571471170,2,5,1,"C10,C6,S5,C2;S4,S9,SA,S3;C5,C8,S6,C3;S8,C4,S10,S2;SJ,S7,C9,SQ;C7,D3,CJ,SK;D8,D6,CA,CK;D5,DK,D7,CQ;D10,DA,D9,D2;H7,H5,H9,H2;HJ,H3,HK,H8;HA,HQ,DJ,D4;H4,H10,H6,DQ"
1571471170,2,6,1,"C10,C6,CK,C2;S8,S6,SJ,S2;S7,SQ,C5,S3;D2,S4,C9,C7;C8,D6,SA,S5;C3,CQ,D7,S9;C4,CA,D10,S10;CJ,D9,H5,SK;D8,DA,H8,D4;HQ,H6,H4,H2;DK,H7,H10,H9;HJ,DQ,D5,H3;DJ,D3,HA,HK"
1571471170,2,6,1,"C5,C10,C3,C2;SQ,SJ,S10,S4;S6,S8,S5,SK;C8,CJ,S9,C7;D2,C9,S2,S7;D3,CA,C6,C4;S3,CQ,D10,CK;D9,D8,DJ,DK;H8,H6,H3,H5;D4,H2,H9,SA;DA,HQ,HA,D5;H10,HK,D6,D7;H7,HJ,DQ,H4"
1571471170,2,0,1,"CA,C8,CK,C2;S6,S7,S9,S8;D2,SQ,S3,S10;SA,C3,D3,S2;C5,D4,C4,S4;C9,D6,C6,S5;CQ,DQ,C7,SJ;D5,DK,C10,SK;D7,H4,D10,CJ;D8,H5,DA,D9;HK,H8,HJ,DJ;HQ,H3,H10,H9;H2,H6,HA,H7"
1571471170,2,8,1,"C5,C10,CQ,C2;S6,SJ,S2,S10;S5,SQ,S7,S4;CA,C4,CK,C9;SK,SA,D5,S3;D6,C3,C6,S8;D9,C7,C8,S9;DK,D10,D8,D2;D4,H2,D3,DQ;HQ,HK,H8,H3;DA,H4,HA,H6;H9,DJ,HJ,CJ;H7,D7,H5,H10"
1571471170,2,18,1,"CA,C5,C4,C2;S10,SK,S4,S2;S9,SA,S5,S6;S8,S7,SJ,SQ;C3,CJ,CQ,C6;C7,D6,C8,S3;CK,DJ,D2,C9;DA,D3,D9,D8;H4,HQ,HA,H2;H5,D10,D5,DQ;H9,HK,H7,H3;DK,HJ,H10,D4;H8,H6,D7,C10"
1571471170,2,4,1,"C4,C8,C7,C2;S9,SA,S4,S5;S2,S8,S3,S7;SQ,C3,S6,S10;CA,C10,C9,CQ;D7,D4,D2,D6;SJ,CK,D8,C5;DA,D10,D9,D3;C6,SK,DQ,DJ;H5,CJ,H2,D5;H9,H3,H4,DK;HQ,HJ,H8,H7;H6,HA,H10,HK"
1571471170,2,0,1,"C7,C4,C6,C2;SK,S6,S3,S8;C3,S5,SQ,S2;S4,C8,SJ,S10;SA,S9,C10,S7;D2,CA,CQ,C9;D8,D9,DQ,D4;DK,D6,CK,D3;C5,H2,D10,D5;D7,CJ,H4,DJ;HQ,HA,H8,DA;H9,H10,H6,H3;H7,HJ,H5,HK"
1571471170,2,1,1,"C8,C9,CK,C2;S4,S8,SJ,S2;SK,S6,SQ,S7;C3,S3,S9,S5;SA,C10,C6,S10;CJ,D10,C7,C4;DJ,CA,C5,CQ;D4,D8,DK,D2;H4,H6,H2,H3;D5,H7,D6,D7;DQ,HK,D3,D9;H10,H5,HJ,H8;H9,HQ,DA,HA"
1571471170,2,7,1,"CQ,CJ,C7,C2;S10,S2,S7,S3;S9,S8,SJ,S5;SA,SQ,S4,SK;D2,C5,C4,C6;D5,C3,C8,C9;D10,S6,D4,C10;DA,D3,DJ,CK;H5,D6,DQ,CA;H7,D9,DK,D7;H9,HQ,H4,H2;H8,HA,H3,HJ;H10,HK,D8,H6"
