1571769097,2,4,0,"C8,C9,CQ,C2;CK,C6,C5,C7;D9,C4,CJ,C3;SQ,D8,CA,C10;DQ,D4,D6,D10;DA,D5,DJ,D3;D2,HA,D7,DK;HK,HQ,H10,H6;S10,S5,SK,S4;S6,HJ,H9,H3;S2,SJ,SA,S3;H8,H7,S9,S7;S8,H4,H5,H2"
1571769097,2,14,0,"CA,C10,C6,C2;C9,C5,CK,C3;CQ,DK,C4,C8;D5,DA,SQ,C7;D4,DJ,D10,CJ;D3,D7,D9,D6;DQ,H2,D2,D8;SJ,SA,S6,S8;S4,HA,S9,S10;HJ,H9,S2,H4;H8,S3,HK,H5;H3,H7,S5,H10;SK,H6,S7,HQ"
1571769097,2,6,0,"CJ,C6,C8,C2;CA,C7,CQ,C9;C5,DK,DJ,C3;D6,D10,CK,C4;DA,D4,D9,C10;DQ,HA,D5,D2;HQ,H9,H6,H3;SJ,SK,S3,S4;D8,HJ,D3,D7;S9,S2,S5,S6;H5,H4,HK,H7;H10,S10,SQ,SA;H8,S7,S8,H2"
1571769097,2,21,0,"CA,CQ,CK,C2;C8,C4,DQ,C5;CJ,D3,C10,C3;D2,SQ,C6,C7;HQ,DK,DA,C9;H8,H10,H9,H5;D8,D10,H7,D4;H6,D7,D5,D9;H4,D6,H3,HA;S9,S3,DJ,HK;S10,S4,S7,HJ;SJ,S6,SK,S2;H2,SA,S5,S8"
1571769097,2,0,0,"CA,C6,CQ,C2;DK,C7,C8,C9;D7,C5,C3,C10;D4,C4,CJ,CK;D3,DJ,DQ,D2;D6,HK,D9,D10;S10,SJ,S2,S4;H9,HA,HQ,H6;SQ,S9,SK,S5;HJ,H2,H8,D5;H10,SA,H5,D8;H7,S7,H3,DA;S8,S3,S6,H4"
1571769097,2,15,0,"CJ,C9,CK,C2;CA,D9,C6,C3;D8,SQ,C8,C10;D7,DA,C7,CQ;D5,D4,DQ,D3;HJ,H10,D2,C4;H3,H9,HQ,C5;D6,H7,H8,D10;DK,H5,H2,DJ;SK,SA,S3,S4;HA,S5,S2,S6;HK,S8,S10,S7;S9,H6,SJ,H4"
1571769097,2,4,0,"C10,C8,CA,C2;C4,C3,SQ,C5;CQ,C9,DJ,CJ;C6,D9,CK,C7;HQ,DK,D2,D3;D8,D10,H5,DQ;D4,HJ,H4,H6;H3,HA,D7,DA;S2,HK,D5,H10;D6,H9,S7,H8;SK,SA,S3,S4;S8,S6,S10,S5;H2,SJ,H7,S9"
1571769097,2,1,0,"CJ,C10,CK,C2;CA,C6,C5,C7;C9,C8,CQ,C4;DJ,D3,D2,D5;DA,D8,D9,D4;HQ,HA,SQ,C3;D6,H10,D10,D7;SK,S5,SA,S4;H6,HK,HJ,H3;H8,H2,H4,H7;SJ,S9,H9,DQ;S10,S7,H5,DK;S8,S6,S3,S2"
1571769097,2,15,0,"C10,CA,C9,C2;DJ,CJ,C8,CQ;D10,DK,D5,D6;C7,DA,D4,C3;DQ,D2,C5,C6;HJ,HA,SQ,D3;H10,HK,H3,H5;S8,H9,SJ,S2;SA,S3,H7,S4;S6,H2,S9,S5;HQ,C4,D7,H8;SK,D9,S7,S10;D8,H4,H6,CK"
1571769097,2,0,0,"CJ,CQ,CA,C2;SQ,C5,C3,C6;DQ,C8,C10,C7;DA,D4,D5,D6;H10,C4,HK,C9;H8,H9,HJ,H4;SK,SA,S6,S2;H6,S3,HA,H7;H5,D2,S5,HQ;H2,DK,S10,CK;D3,D9,S9,D7;S8,DJ,D10,D8;SJ,S4,S7,H3"
1571769097,2,4,0,"CK,CJ,CA,C2;C10,C4,C5,C6;CQ,D10,SQ,C3;D7,DA,C8,C7;D9,D6,DQ,D3;DK,D4,D2,D5;H10,HQ,DJ,D8;S5,S3,S4,S6;S2,S10,SK,S7;S8,SA,S9,SJ;H9,H8,HK,H4;HA,H5,H7,H6;C9,H3,HJ,H2"
1571769097,2,1,0,"CK,C10,CA,C2;C8,C7,C9,C4;DQ,D10,DA,D5;SQ,CQ,C5,C3;D7,C6,D8,CJ;D6,DK,HK,D3;HQ,DJ,D4,D9;H9,SA,S4,S5;S7,S10,H8,S6;H6,H7,H2,H3;S3,HA,H5,S8;S2,HJ,H4,S9;SK,H10,D2,SJ"
1571769097,2,0,0,"C7,CJ,CA,C2;CK,DJ,C5,C6;D6,C10,C9,CQ;HQ,D10,DA,D2;DK,H9,D8,D3;H4,D5,D7,D9;SK,S10,SJ,SA;S9,H10,S8,SQ;H3,H6,HJ,H5;HA,S6,D4,DQ;HK,S3,C8,S4;H8,S5,C4,S7;H7,S2,C3,H2"
