1571804776,2,0,1,"CJ,C9,CA,C2;D9,C6,C4,C5;DA,DK,D2,D5;CK,HK,DJ,C3;H7,H4,SQ,H2;HA,C7,H10,H6;D3,H9,H5,HQ;D4,C8,S2,HJ;DQ,C10,S3,H8;S6,CQ,S5,H3;SA,D8,SK,D6;S10,D10,S8,D7;S7,SJ,S9,S4"
1571804776,2,6,1,"CJ,C7,C9,C2;CQ,C5,CA,C3;C8,C10,DK,CK;DA,D4,DJ,D2;SQ,D8,D10,C4;HJ,HA,D7,C6;DQ,H9,D3,D5;H3,H2,HQ,H4;H8,S4,HK,H6;D9,S2,S5,H10;S8,S3,S6,H7;SJ,S7,S10,H5;SA,S9,SK,D6"
1571804776,2,19,1,"CQ,CK,CA,C2;C10,C3,C4,C6;D10,C8,C9,C5;DQ,D4,DA,D2;DK,SQ,D3,C7;HQ,HA,H10,CJ;H4,HK,H2,H3;H9,HJ,D6,H7;DJ,H5,H8,H6;SA,S6,S7,S3;SJ,D9,S9,D5;S8,SK,S4,D7;S5,S10,S2,D8"
1571804776,2,1,1,"C7,C6,C10,C2;CQ,C4,C5,C8;C3,CA,DA,C9;DK,CJ,D10,CK;DJ,D5,D2,D6;D7,D8,HK,D9;SK,S10,SA,S3;H6,HJ,HA,H7;HQ,S5,H8,H4;S6,SQ,H9,H10;S7,D3,S2,H5;S9,D4,S4,H3;SJ,DQ,S8,H2"
1571804776,2,0,1,"CA,C9,CJ,C2;CK,C6,C7,C8;DQ,C10,DA,C3;DK,CQ,DJ,C4;D7,D6,D2,D3;S6,S5,SJ,S2;H9,C5,D5,D8;H5,H3,H4,H2;S4,HK,S8,S3;SA,HQ,D4,D9;SK,HJ,H7,S7;H10,H6,SQ,S9;S10,H8,D10,HA"
1571804776,2,0,1,"C8,CK,CA,C2;C10,C5,CQ,C6;D10,C7,C3,C9;D5,C4,SQ,CJ;D4,D3,D6,D7;D2,DJ,D9,D8;SK,S9,SJ,S2;S6,S7,S5,S8;S4,S3,SA,S10;HJ,H3,HA,H4;HK,H5,DQ,H7;H8,DK,H6,H10;H2,DA,H9,HQ"
1571804776,2,4,1,"CK,CA,C7,C2;C6,C4,C8,C9;D10,D6,D8,D2;DK,D7,DA,D3;D4,D5,CQ,D9;SQ,CJ,C5,DJ;HA,C10,C3,DQ;HK,HQ,H5,H4;H10,S2,H2,H8;S5,HJ,H7,H9;SA,S9,SK,S3;H6,S6,S8,H3;SJ,S10,S7,S4"
1571804776,2,15,1,"CQ,C8,CA,C2;DA,D2,D6,D7;CJ,C6,DQ,C4;SQ,D10,CK,C3;C7,D9,D8,C9;C5,HA,HK,C10;DK,D4,H8,D5;HQ,H2,HJ,H3;H5,H9,H10,H4;D3,S2,H6,H7;S9,S10,SA,S4;SJ,S6,S8,DJ;S5,S3,S7,SK"
1571804776,2,11,1,"C10,C7,CQ,C2;CA,C5,C6,C4;C9,SQ,CJ,CK;D6,DJ,D3,D4;D10,DA,D2,D5;C8,D9,D7,DQ;HQ,D8,HA,DK;H9,HK,HJ,H3;S9,S6,SA,S3;H6,H5,H2,H4;S7,S5,S8,S10;S4,S2,H7,SJ;H8,H10,C3,SK"
1571804776,2,7,1,"CK,C7,CA,C2;C10,C4,C5,C6;C9,D5,CQ,C8;SQ,C3,D3,CJ;D4,D6,HK,D7;DJ,D8,HQ,D9;HA,H2,HJ,H4;H10,DK,H3,H5;DA,H8,D2,H9;S2,D10,DQ,H7;S3,S5,S7,H6;S8,SK,SA,S6;S9,S4,S10,SJ"
1571804776,2,0,1,"C7,C8,C9,C2;D7,D5,D3,D6;DJ,CK,DA,C3;DK,C4,D10,C5;DQ,C6,D2,C10;HJ,CJ,H7,CQ;SA,S10,S4,S5;HA,H4,HK,H6;S2,H10,H9,H8;H3,HQ,S3,S6;H2,H5,SK,S7;SJ,D9,D4,S8;D8,CA,S9,SQ"
1571804776,2,18,1,"CA,C6,CK,C2;C4,C7,C9,C8;DQ,D4,D5,D2;DA,C10,SQ,CJ;D8,C5,DK,CQ;D6,C3,D9,D10;D3,HA,D7,DJ;H6,HK,H4,H2;S4,SK,SA,S2;H9,H7,HQ,H5;S8,S10,HJ,S3;H10,S9,S6,H8;SJ,S7,S5,H3"
1571804776,2,1,1,"C10,CQ,CA,C2;C6,C9,CJ,C3;CK,C4,C8,C5;DQ,DJ,DA,D9;SQ,D8,D7,C7;S8,S9,S4,S5;D6,HA,DK,D3;HQ,H5,H2,H3;HK,HJ,H6,H8;H10,H9,H7,H4;S3,S7,S6,S10;S2,D5,SJ,SK;D10,D4,D2,SA"
