1571893814,2,0,2,"CQ,CJ,CA,C2;CK,C10,C8,C4;SQ,D9,C7,C3;C9,DQ,D6,C6;D8,D5,DK,C5;D3,HA,D10,DJ;HJ,H8,HQ,H2;HK,H3,H6,H5;D2,H4,D7,DA;SJ,S5,S7,S2;S9,H10,S3,H9;S8,H7,SA,D4;S6,S10,SK,S4"
1571893814,2,4,2,"C10,CK,CA,C2;CJ,C5,CQ,C3;C8,C7,DA,C9;DJ,D7,DK,D3;D9,D4,D2,D5;D8,C6,DQ,D6;SQ,HQ,C4,D10;SK,SA,S4,S5;H7,HA,H2,H4;HK,H3,H5,H9;S6,S2,S7,S3;S8,HJ,S9,H8;S10,H6,SJ,H10"
1571893814,2,17,2,"CQ,CA,C3,C2;DA,CK,C4,C5;C6,C8,DJ,C9;DK,C10,D7,CJ;D10,D4,D6,D9;DQ,D2,H10,D3;HA,H2,HJ,H4;H6,D8,SQ,D5;HK,HQ,S4,H5;H8,S9,H9,H7;S5,S8,SK,S3;S7,H3,S2,S10;S6,C7,SA,SJ"
1571893814,2,18,2,"C10,CJ,CQ,C2;C8,C3,CA,C5;C9,C4,DA,CK;DJ,D8,DK,D2;D6,D10,HA,D5;H6,HK,H2,H3;HJ,H8,H4,H10;D9,SA,HQ,D3;S10,H9,DQ,C6;S9,H7,D4,C7;S8,H5,SK,D7;S6,S5,S7,S2;SQ,S4,SJ,S3"
1571893814,2,4,2,"C7,CQ,CK,C2;CA,C6,C3,C4;C5,C10,CJ,C8;DA,D10,DJ,D2;DK,D7,D8,D3;SQ,HA,D4,D5;H9,HK,HJ,H4;H10,H3,H6,H5;H2,C9,HQ,H8;DQ,D6,S2,H7;SA,S5,S4,S7;S8,S3,SJ,S6;S10,D9,SK,S9"
1571893814,2,3,2,"CQ,C8,CJ,C2;CK,C9,CA,C3;C7,DK,D8,C5;D7,D4,C10,C4;D3,HJ,D2,D5;C6,H9,H7,H2;HQ,HA,D6,H4;DA,H8,H10,D9;SK,H6,SQ,D10;S9,H5,HK,DJ;S6,H3,SA,DQ;S4,SJ,S7,S2;S5,S8,S3,S10"
1571893814,2,0,2,"CA,CJ,CK,C2;DK,DQ,DA,D2;D7,C3,C5,C6;D5,C10,C7,C8;D9,D6,D4,D3;CQ,HK,DJ,C4;H8,HA,HQ,H5;HJ,H10,H6,H4;SQ,H2,H9,C9;H3,SJ,D10,D8;S7,S3,S4,H7;SK,SA,S6,S2;S5,S8,S9,S10"
1571893814,2,26,2,"CJ,C7,CA,C2;C3,C4,SQ,C5;CK,C6,DK,C8;DA,DJ,C10,C9;CQ,DQ,D2,D3;D8,D9,HK,D5;SK,S8,S3,S4;HQ,H7,HA,H6;S5,H9,S6,S7;S2,H8,S9,S10;SJ,H3,H5,SA;H4,D6,D4,HJ;H2,D7,D10,H10"
1571893814,2,22,2,"C8,C10,CK,C2;CA,DA,C9,C3;DQ,C6,C4,C5;DK,D8,D10,D3;CJ,D9,SQ,C7;D7,D4,D5,D2;S4,S7,S8,S9;S3,S6,SK,S10;HJ,H7,H2,H5;H4,HK,HA,H8;H10,D6,CQ,HQ;H3,DJ,S5,H9;SJ,S2,SA,H6"
1571893814,2,0,2,"CA,CK,C5,C2;C8,C3,C10,C4;D10,D8,DJ,D2;D4,CQ,D3,D5;HJ,CJ,DA,D6;HA,H7,C6,C7;D9,H6,HK,D7;S8,S5,S10,S6;H9,H5,H8,DQ;SA,H4,H2,DK;S7,H3,C9,HQ;S9,S3,S2,H10;SK,S4,SJ,SQ"
1571893814,2,0,2,"CA,C9,CK,C2;C3,CQ,DQ,C4;D7,CJ,DA,C5;D10,C10,D4,C6;HK,C7,D6,C8;HQ,DK,HJ,D2;H7,D5,H4,D8;H6,D3,H3,D9;S3,H9,H2,H8;S4,H10,S5,HA;S8,SQ,S6,H5;SK,S9,S10,DJ;SJ,S2,S7,SA"
1571893814,2,13,2,"CK,C7,CQ,C2;CA,C9,CJ,C5;C8,C6,C10,C3;DA,D7,D3,D8;SQ,D2,DQ,C4;DK,H10,H9,D4;H6,H8,H4,H3;HJ,HA,H2,H7;S2,H5,D5,HK;S5,S4,D6,HQ;SA,SJ,DJ,D9;S3,S9,S10,S7;SK,D10,S6,S8"
