1571893979,2,1,3,"C7,CK,CA,C2;CJ,C4,CQ,C3;DA,D7,D5,D8;C9,DJ,DK,C5;D2,D9,C10,C6;SQ,HA,HQ,C8;D3,H9,HJ,D4;D10,H4,H10,DQ;S9,S8,SJ,S2;H8,HK,H3,H7;H2,H6,SA,D6;SK,S10,S6,S3;H5,S4,S5,S7"
1571893979,2,1,3,"C8,C7,CK,C2;CA,D9,C4,C5;HK,C3,CQ,C6;SQ,HJ,H8,C9;HQ,H7,H3,C10;H10,H6,DK,CJ;D2,H5,D7,D3;DJ,DA,H4,D5;H2,D6,D8,D10;SK,SA,D4,DQ;S10,S3,S2,S5;S9,HA,SJ,S4;S8,S6,H9,S7"
1571893979,2,0,3,"C8,CA,CQ,C2;DA,D9,D10,D3;C4,C3,SQ,C5;CK,C7,DQ,CJ;C6,D7,DK,C9;H8,HK,D2,C10;D4,HJ,HQ,H5;S6,SA,S2,S3;H10,H7,DJ,D5;D8,H9,H6,H4;S5,HA,S9,H3;S10,S4,S8,H2;SK,S7,SJ,D6"
1571893979,2,2,3,"CA,CJ,CK,C2;C9,C4,C8,C10;D9,DQ,SQ,D4;CQ,DJ,C6,C3;D10,DA,D6,C5;HA,H8,HQ,C7;HK,D2,H3,H7;D3,H10,H5,D5;DK,H9,H4,D7;SA,S8,S9,S3;H2,HJ,S5,H6;SJ,SK,S7,D8;S10,S2,S4,S6"
1571893979,2,0,3,"C8,CJ,CA,C2;C9,C4,C3,C6;C7,DQ,CK,C5;SQ,DA,DJ,C10;D10,DK,D3,CQ;D5,D9,H10,D2;H9,HQ,H4,H2;HA,D4,H8,D6;H3,D7,H6,D8;S2,HK,H5,HJ;SA,SJ,S3,S4;S7,S10,S5,S6;SK,S8,H7,S9"
1571893979,2,0,3,"CQ,CA,C6,C2;SQ,C5,C3,C7;DQ,C4,C10,CJ;D10,DA,C9,CK;D7,D3,D4,D5;DJ,C8,DK,D2;S8,D9,S7,S9;S6,D8,S4,S10;S5,HA,SK,SA;H3,H10,HQ,H2;HK,D6,H7,H5;S2,H6,HJ,H9;H8,S3,H4,SJ"
1571893979,2,1,3,"CK,C10,CQ,C2;C7,DK,C5,C6;DQ,D3,D2,D4;DA,D6,D8,D7;CJ,HK,DJ,C3;H10,HJ,HQ,H4;SQ,H8,H9,C4;HA,H7,H6,C8;D10,H3,H5,C9;D5,H2,SK,CA;SA,SJ,S10,D9;S8,S9,S2,S3;S7,S5,S4,S6"
1571893979,2,13,3,"CJ,C4,CQ,C2;C10,C8,CA,C5;C9,C6,C3,CK;DA,DJ,DK,D2;SQ,D6,D10,C7;D8,HQ,H5,D3;H8,H2,H3,H4;S4,HJ,HA,H7;H6,S5,H9,HK;S2,S6,D4,H10;SA,SK,DQ,D5;S10,SJ,S9,D7;S3,S8,S7,D9"
1571893979,2,20,3,"CJ,CK,CA,C2;C10,C3,C5,C6;DA,CQ,SQ,C4;DJ,DQ,D10,C7;D9,D7,D4,C8;HJ,HK,HA,C9;D8,D2,H7,D3;H10,H6,HQ,H3;H9,H2,H4,H5;D5,S4,DK,H8;SK,S8,S5,S10;S7,S3,SA,D6;S6,S2,SJ,S9"
1571893979,2,13,3,"CA,CJ,CK,C2;C10,CQ,C3,C4;DA,D10,DQ,D3;C8,C7,SQ,C9;D7,DJ,DK,D4;D8,D2,D5,D6;SK,S4,SJ,S5;C5,H10,HA,C6;SA,S7,S10,S3;H9,HJ,HK,H5;S2,H4,S6,S8;HQ,H2,H8,H7;D9,S9,H6,H3"
1571893979,2,0,3,"CA,C8,C9,C2;CK,C3,DA,C5;D7,DK,C10,C4;CQ,D4,D5,C6;D3,D2,C7,CJ;HA,HQ,DJ,D6;HK,HJ,H3,H2;H7,H10,H9,H6;SQ,H5,S3,H8;S10,S2,S6,S7;DQ,SA,SK,D8;S4,S8,D9,H4;SJ,S9,S5,D10"
1571893979,2,1,3,"CK,CA,C8,C2;C6,C7,C10,CJ;D7,D6,D4,D5;CQ,C9,DJ,C4;SQ,D10,C5,C3;HA,D2,D9,D3;H8,H2,HQ,H5;HJ,H4,HK,H6;H9,H3,S2,H10;DQ,D8,S6,H7;SK,S8,SA,S3;SJ,DA,S5,S9;DK,S4,S10,S7"
1571893979,2,3,3,"CK,CQ,CA,C2;C10,C4,C9,C7;C3,DQ,CJ,C5;DK,DA,D2,D4;DJ,D5,D3,D6;SA,SJ,S10,S2;D7,D8,HK,D9;HA,S4,S3,S5;H7,SQ,SK,S7;HJ,H5,H4,H3;C6,H2,H10,H8;H6,C8,HQ,H9;S8,S9,D10,S6"
1571893979,2,4,3,"CK,C8,C9,C2;CA,C5,CQ,C6;DQ,D7,D9,D4;C10,CJ,SQ,C3;DA,D6,D3,D8;HK,D2,HQ,D5;HJ,HA,H3,H2;H10,H9,H6,H5;H7,H4,C7,H8;SK,SJ,SA,S2;S10,DJ,C4,D10;S8,S9,S5,S6;S3,S7,S4,DK"
