1571894120,2,4,2,"CK,CQ,CA,C2;C8,C5,CJ,C7;DK,C6,C3,C9;D10,C4,D8,C10;D9,DA,D5,D6;D3,DJ,D4,DQ;S10,SQ,SK,S2;H10,HK,D7,D2;HQ,H7,H6,H3;S3,H4,HA,H5;H9,S7,HJ,H8;S4,S6,S8,H2;SA,SJ,S9,S5"
1571894120,2,0,2,"CQ,C5,C9,C2;CA,C4,CJ,C6;DA,C8,SQ,C3;D9,CK,DJ,C7;D2,D10,D7,C10;HQ,D3,HK,D4;H4,D6,H10,D8;S3,HA,H6,H5;H9,HJ,S6,H8;SK,D5,H3,DQ;SJ,H7,H2,DK;S8,S9,SA,S2;S10,S7,S4,S5"
1571894120,2,0,2,"CA,C4,C6,C2;C8,DK,CK,C3;CQ,C7,D8,C5;D7,D3,DA,C9;HK,HQ,DJ,C10;HJ,H10,HA,CJ;H9,H6,D2,D4;H7,H2,D10,D5;SQ,H3,S2,H8;D6,H5,S3,H4;S7,S8,SJ,S9;SA,S5,D9,DQ;SK,S4,S6,S10"
1571894120,2,5,2,"CK,CJ,CA,C2;CQ,C7,C4,C8;SQ,DA,C10,C3;D3,D6,DQ,D4;DJ,C9,D2,D5;C6,DK,D10,D7;SK,S6,S3,S4;D8,H7,HK,D9;HA,S10,SA,S2;H10,H4,C5,H3;HQ,S7,H8,H5;S8,H6,H9,HJ;S9,S5,SJ,H2"
1571894120,2,0,2,"CJ,CK,CA,C2;SQ,C7,CQ,C3;C9,DA,D9,C4;DJ,D8,C10,C5;C8,D7,D5,C6;HK,HQ,DK,D2;DQ,H10,H8,D3;H9,H6,HA,H5;D10,H2,H4,D4;S3,S2,HJ,H7;S9,S8,SJ,S4;SA,H3,S6,S7;D6,S5,S10,SK"
1571894120,2,7,2,"CQ,C9,C10,C2;CJ,C7,CA,C3;C8,C4,DA,CK;D10,DK,D3,D4;D5,D7,D8,D6;SQ,D2,D9,C5;H7,HA,HJ,C6;SA,S2,S3,S4;HK,H10,HQ,H2;H8,H6,DJ,H3;H5,DQ,H9,H4;S9,S5,S10,S6;SJ,S8,SK,S7"
1571894120,2,25,2,"CK,C10,CJ,C2;CQ,C5,C6,C7;C8,CA,SQ,C3;DJ,C4,DA,C9;D4,D10,DQ,D2;D6,HA,D7,D3;D8,DK,HQ,D5;H7,H10,H8,D9;SA,S8,S7,S9;H5,H4,HK,H3;H6,S2,H2,HJ;S4,S6,S3,H9;S5,S10,SK,SJ"
1571894120,2,6,2,"C8,CQ,CK,C2;CA,C5,D6,C6;C7,D4,C10,C4;D5,D3,H7,D7;HQ,HJ,H5,H4;C3,H3,HA,C9;H6,H2,HK,H8;SQ,D2,S2,H10;CJ,D8,S3,H9;DJ,DQ,SJ,DK;SA,D10,S9,DA;S10,SK,S8,S5;S6,S7,S4,D9"
1571894120,2,13,2,"CK,C5,C7,C2;CA,C6,C3,C4;SQ,CJ,C10,CQ;DK,DJ,D10,DQ;D8,D9,DA,D2;SK,S3,SJ,S4;D6,D7,H8,D3;H5,HA,HK,H4;HQ,H3,H2,H6;H10,S6,D5,HJ;H9,S9,S2,H7;SA,S8,C9,C8;S5,S10,S7,D4"
1571894120,2,17,2,"CK,C6,C7,C2;CA,C3,C8,CQ;DK,C5,SQ,C9;DJ,C4,DA,C10;D10,D4,D6,CJ;D2,HA,D3,D5;H3,H2,HQ,H4;HK,D8,H5,H8;D9,H10,H6,H7;HJ,D7,S3,H9;S7,SA,S4,S5;SK,SJ,S2,S6;S8,DQ,S9,S10"
1571894120,2,4,2,"CK,C9,CJ,C2;CA,C4,C5,C6;C8,DK,C10,CQ;DQ,D8,D2,D3;D7,C7,SQ,C3;D10,D5,H10,DJ;S4,S5,S3,S6;HQ,SA,S7,S8;H9,HA,H8,H4;H5,S10,S2,S9;H3,HJ,D6,H2;D9,HK,SJ,H7;SK,H6,DA,D4"
1571894120,2,10,2,"CA,C10,CJ,C2;CK,C9,C4,C6;D8,CQ,C7,C3;DK,C5,D4,C8;DJ,D6,D3,D7;SA,SK,S10,S2;D2,DA,HK,D5;H10,D9,HA,D10;H7,HQ,H9,DQ;S9,S7,SJ,S3;H6,H4,H3,H5;S4,S6,H8,S5;H2,SQ,S8,HJ"
1571894120,2,0,2,"CA,CJ,CK,C2;C10,C8,C9,C3;DQ,DK,D4,D2;CQ,DA,C4,C5;D6,D8,D10,D3;H8,HA,C6,C7;H7,HJ,DJ,D5;D9,H6,H4,D7;SA,S4,S5,S6;S10,S8,SQ,S2;S3,H3,H9,H10;S7,H2,H5,HK;SJ,S9,SK,HQ"
1571894120,2,22,2,"CK,C8,C10,C2;CJ,C6,C7,C9;DQ,D9,DA,D3;DJ,C5,C4,CQ;D4,D10,D2,D5;CA,H3,HA,C3;H2,HQ,H4,H5;H8,HK,DK,H9;S3,H6,H7,HJ;S4,S6,D6,H10;SA,SJ,D7,D8;SK,S10,S5,S7;S9,S2,SQ,S8"
