1571906653,2,13,1,"CK,CJ,CQ,C2;CA,C6,C8,C9;C4,C3,SQ,C5;DQ,D8,DJ,D2;DA,D3,D9,D10;SK,D7,SA,C7;HA,H5,H10,C10;HK,D4,H9,D5;H2,D6,H7,DK;S7,S9,S10,SJ;S4,H3,H6,H8;S5,S3,H4,HJ;S6,S8,S2,HQ"
1571906653,2,0,1,"CA,C5,C6,C2;C9,DK,CK,C3;CQ,C8,DQ,C4;SA,D10,C10,C7;DJ,DA,D2,D3;D4,D6,D7,D8;HK,SQ,D5,D9;H5,H4,H3,H2;S3,HA,S5,S6;S7,H10,S4,S8;HQ,H8,S2,S9;HJ,H6,SK,S10;SJ,H7,CJ,H9"
1571906653,2,4,1,"CJ,CA,C3,C2;SA,C7,C6,C8;DQ,CQ,C5,C9;DA,D3,D4,D5;CK,D9,SQ,C4;D2,D6,D8,D10;HA,SK,DJ,DK;HK,HQ,H8,H3;HJ,H6,H10,H2;SJ,S7,S5,S8;H7,H9,H5,C10;S6,S4,H4,D7;S2,S3,S10,S9"
1571906653,2,3,1,"CJ,C6,CA,C2;CQ,C7,C5,C8;C9,DK,CK,C3;SK,C4,D8,C10;DA,DQ,D4,D5;D10,D3,D9,D2;HK,SA,DJ,D6;SQ,H8,H6,D7;S3,S5,S6,S7;HJ,SJ,S8,S9;S2,HA,H2,H7;H10,H4,S4,H9;H3,S10,HQ,H5"
1571906653,2,13,1,"C10,C6,CK,C2;CJ,DJ,CA,C3;D6,DA,D10,D2;D9,DQ,C5,C7;D4,D8,SQ,DK;S10,S4,SK,S2;H9,HA,D7,C4;H8,HK,HQ,C8;H4,H6,HJ,C9;SA,H3,H5,CQ;S9,S8,S3,SJ;S6,H2,D3,H7;S7,S5,D5,H10"
1571906653,2,18,1,"CK,C10,CJ,C2;C8,C5,C6,C7;C4,C9,CQ,C3;DK,D6,D2,D7;DA,CA,DQ,D3;HK,D9,D10,D4;SQ,H9,DJ,D5;S7,S5,S3,S6;H7,H4,HA,D8;H2,H3,HQ,H5;S2,S9,SJ,SK;HJ,S4,S8,H6;SA,S10,H8,H10"
1571906653,2,16,1,"CQ,CJ,C5,C2;C6,SA,CA,C3;C7,SQ,DQ,C8;C10,DK,DJ,CK;D5,D9,D3,D4;D10,DA,C9,D6;HK,HQ,D7,D8;H8,H9,H3,H4;HA,H10,H7,H6;SK,C4,H5,D2;SJ,S6,S8,S9;S5,S10,HJ,S2;H2,S7,S3,S4"
1571906653,2,6,1,"C9,CJ,CA,C2;C5,SQ,C7,C3;CQ,C4,DJ,C6;DA,D5,DK,D2;H10,SA,DQ,C8;H9,HK,H7,H3;D10,D3,H8,D4;HA,H5,D8,D6;SJ,S6,S2,S3;H6,H4,HQ,D7;CK,H2,HJ,D9;S5,S10,SK,S4;S9,C10,S8,S7"
1571906653,2,0,1,"CK,CA,C7,C2;DA,D4,D5,D6;CQ,C3,SA,C4;CJ,D8,C5,C6;D7,DK,C10,C8;D3,HK,D10,DJ;S7,S5,S9,S3;SQ,H6,H7,D2;HQ,H5,H4,D9;H10,H2,H3,DQ;SK,S6,S4,S8;C9,S10,HA,H8;H9,S2,SJ,HJ"
1571906653,2,4,1,"CK,C8,CA,C2;C4,C9,C5,C6;DA,CQ,C3,C7;SA,SQ,DQ,C10;D10,SK,D9,CJ;D7,DK,D8,D2;S2,S5,S6,S7;D4,S3,S4,S8;D3,DJ,SJ,S9;HA,HQ,D6,D5;H10,HK,H3,H4;H9,H6,H2,H5;HJ,S10,H8,H7"
1571906653,2,4,1,"CJ,CK,CA,C2;C9,C3,C4,C6;SA,CQ,DK,C5;DQ,C7,DJ,C8;D10,SQ,D9,C10;D8,D5,D6,D7;DA,D3,SK,D4;HA,H9,HQ,D2;HJ,H5,H3,H2;S3,H8,HK,H4;S8,S4,S7,S5;SJ,H7,S9,S2;H6,S6,H10,S10"
1571906653,2,0,1,"CA,C6,CJ,C2;CK,C9,CQ,C4;DK,D2,D4,D5;C8,C10,DJ,C3;D10,C5,D6,C7;D8,DQ,HA,D3;HK,H2,H5,H3;H8,H7,SQ,H6;H4,D7,HQ,D9;SJ,S7,HJ,DA;S10,S4,S5,S9;S3,H10,SA,S6;S8,S2,H9,SK"
1571906653,2,3,1,"CA,CJ,CQ,C2;C6,C9,C5,C7;CK,C10,C3,C8;SK,SA,SQ,C4;DQ,D2,D4,D5;DA,DK,D7,D3;D9,HK,D10,D6;S10,S3,S8,S2;HA,HQ,H8,D8;H4,HJ,H6,DJ;H3,H2,S4,H5;SJ,H10,S7,S5;H7,S6,H9,S9"
1571906653,2,0,1,"CJ,C5,C7,C2;CK,C6,CA,C4;C9,C3,SQ,C8;DJ,D8,DQ,D2;SA,CQ,D5,C10;HA,D10,DA,D9;H7,HK,H3,H4;H6,HQ,H2,H8;SK,HJ,D7,DK;SJ,S4,S6,S7;S10,D6,S8,S2;D4,H10,S5,S9;D3,H9,S3,H5"
