1570879898,3,2,0,"CK,CQ,C10,C2;S5,SQ,S7,S6;S10,SJ,S9,S4;DJ,SA,S3,S8;C6,C9,C5,C4;H8,H9,S2,SK;DQ,D5,DK,D9;DA,C3,HA,CJ;H4,C8,D6,CA;HQ,D10,D3,D4;D2,D8,H10,C7;H7,H5,H6,H2;HJ,H3,HK,D7"
1570879898,3,15,0,"C7,CQ,C8,C2;S7,S4,HA,S5;S3,H3,SA,S2;SQ,S10,H6,S8;D7,CJ,SJ,S6;S9,C6,H9,SK;C4,C10,CK,C5;H2,C3,D2,C9;DA,H10,H8,CA;DK,D9,D3,D4;H4,D10,DJ,D5;D8,HJ,DQ,D6;H7,HK,H5,HQ"
1570879898,3,7,0,"C6,C3,CK,C2;SK,S4,S3,S2;S10,S6,SJ,S8;S9,D5,SA,S5;SQ,DA,DJ,S7;C10,C4,CA,C5;DQ,C9,C7,CJ;D7,D2,D3,D4;H4,H10,DK,D6;D8,C8,HJ,D9;H7,H6,HQ,D10;H2,H8,H9,H3;HA,H5,HK,CQ"
1570879898,3,0,0,"C8,C10,C7,C2;S2,S8,SK,S3;C9,C5,CQ,C4;D9,H4,S5,S4;S7,HJ,H10,S9;S10,HA,D3,SQ;D2,CJ,C3,CK;H6,DQ,D7,D4;C6,H5,HK,CA;D8,D6,SJ,DJ;D10,DA,H9,DK;SA,H2,H8,D5;S6,H3,H7,HQ"
1570879898,3,2,0,"CA,C6,CK,C2;S4,S9,S8,S2;S10,S3,SQ,S5;S7,H7,S6,SA;D4,D2,D7,D5;H9,SJ,H10,SK;HA,C4,C8,C9;D9,C3,C7,CJ;D10,HQ,C5,CQ;DJ,D6,DA,D3;HJ,H2,HK,C10;H3,DQ,H4,H5;D8,DK,H8,H6"
1570879898,3,0,0,"CQ,C7,C6,C2;S9,SQ,S6,S5;S7,SJ,SA,S2;S8,S10,C5,SK;H2,CK,CJ,C3;HK,H5,S3,S4;C10,C8,D6,C9;C4,H10,HA,CA;DA,D9,DQ,D3;D7,D8,D10,D2;H4,H7,H6,H3;D4,HJ,D5,DJ;H9,H8,DK,HQ"
1570879898,3,3,0,"C7,C5,C8,C2;S6,S9,SA,S8;SJ,H4,S4,S3;D3,S2,SQ,SK;C9,C10,C3,C4;S7,C6,H10,S5;CA,HK,H7,S10;DQ,D9,D4,D2;CK,H9,HJ,CJ;D8,DK,H6,CQ;D6,DA,D10,DJ;HQ,H8,H3,D5;HA,H5,H2,D7"
1570879898,3,26,0,"C10,CK,C3,C2;SA,S9,S10,S2;SK,S4,S8,S5;C7,SJ,SQ,S3;DQ,D5,S6,S7;C5,CJ,CQ,C4;C8,C6,C9,CA;D8,D7,D4,D2;H2,H7,H5,H8;H3,H6,H9,H10;DA,H4,DJ,HJ;D3,HQ,D10,HK;D9,D6,DK,HA"
1570879898,3,4,0,"C6,CJ,C7,C2;S8,S5,SA,S2;S9,S6,SQ,SJ;C9,C4,C5,C8;C3,D5,CA,CQ;H9,S7,DA,C10;HQ,SK,H4,CK;D2,DJ,D10,D6;H3,HA,H7,S3;D8,DK,D3,S4;H8,HK,DQ,S10;HJ,H6,H10,H2;D9,D4,H5,D7"
1570879898,3,0,0,"CA,CQ,C8,C2;S6,S7,S8,S2;SA,S10,SJ,SK;S3,S5,HA,S4;C5,CJ,C7,C3;H7,D10,CK,S9;HK,HJ,DJ,SQ;D6,D7,D9,D2;HQ,H10,C9,C4;DQ,DA,D8,D3;H3,H5,D5,H4;C6,H9,H8,D4;C10,H6,H2,DK"
1570879898,3,14,0,"C7,C5,CQ,C2;SQ,S5,S6,S2;SK,S10,S7,S9;D8,S3,H5,SA;C10,HA,CJ,C6;C9,C3,DK,C4;D6,D9,CA,C8;D7,D5,D3,D4;H9,SJ,H10,CK;DQ,D2,DA,D10;HJ,HQ,H8,H4;S8,H6,H2,DJ;S4,H7,HK,H3"
1570879898,3,6,0,"CA,C7,CQ,C2;S5,SA,SJ,SQ;S6,H5,S10,S4;S8,S7,D10,S2;S3,D2,S9,SK;C8,C6,C5,C9;C4,C3,DA,C10;D6,CJ,HA,CK;D9,H3,DK,D3;D4,DQ,H9,D5;HJ,HQ,D8,D7;H6,H4,H8,H2;HK,DJ,H10,H7"
