1571471718,3,13,3,"C10,C6,CJ,C2;S8,S9,S10,S2;SA,S4,S7,S5;SQ,SK,S6,SJ;C7,C8,CQ,C4;C9,C3,D3,S3;CA,D7,D4,C5;D10,DJ,DK,D6;DQ,H4,D9,CK;H2,H8,DA,D2;H9,H6,HQ,H5;HK,D8,H3,H10;D5,HJ,HA,H7"
1571471718,3,4,3,"C3,C10,CJ,C2;SA,S7,SQ,S2;SJ,S9,S6,S5;C4,S3,C7,C5;CA,C8,S4,S8;D5,C9,D4,S10;D7,CQ,D9,SK;D8,CK,D10,C6;DJ,D2,DK,D6;H2,HK,H4,H3;D3,H8,DA,DQ;H9,H7,H10,H6;HQ,HA,H5,HJ"
1571471718,3,0,3,"C7,C5,CA,C2;SQ,S8,S7,S6;C3,SJ,SA,S9;C10,C9,C8,C6;D3,S2,CK,C4;D2,D4,S3,CJ;D10,D5,S4,CQ;DJ,D6,DA,D7;D9,H2,DK,S5;DQ,H3,H4,S10;H10,HK,HA,SK;H9,HJ,HQ,D8;H7,H5,H6,H8"
1571471718,3,14,3,"C6,C7,C5,C2;SJ,SK,S3,S7;SA,C3,SQ,S2;C8,S4,S8,S6;CJ,C9,S5,S9;D3,C10,CQ,S10;D9,D2,CA,C4;D6,D10,D4,CK;D7,DJ,H2,D5;H4,H5,H6,H3;H9,HK,DK,D8;DA,H7,HJ,HQ;DQ,H8,H10,HA"
1571471718,3,16,3,"C5,CJ,CK,C2;S4,SK,S3,S5;S8,SJ,S2,S6;SA,SQ,C6,S7;C7,C8,S9,C3;D3,C4,C10,C9;CQ,D4,CA,S10;D9,DA,DK,D5;D8,H5,D2,D6;H6,D7,H2,D10;HA,DQ,HJ,DJ;H3,H10,HK,H4;HQ,H8,H7,H9"
1571471718,3,3,3,"C10,C8,C7,C2;S7,SA,SJ,S3;S9,S8,S6,S4;C4,SQ,C5,S5;D2,C3,C6,S2;D10,C9,CA,S10;DK,CJ,D4,SK;H3,D3,D5,CQ;H4,D7,DQ,CK;HK,D9,DA,D6;HJ,HQ,H9,H6;H2,H10,DJ,H5;D8,H7,HA,H8"
1571471718,3,7,3,"C8,C10,CA,C2;S8,S7,SK,S2;SQ,S10,S4,S5;C4,C7,C6,C3;S6,C5,S3,SA;D7,D4,DA,D5;D6,S9,C9,SJ;D8,D2,CQ,CJ;D9,H2,DK,D10;H4,HQ,H9,H3;HA,H10,H8,CK;HK,H6,DJ,D3;H7,HJ,H5,DQ"
1571471718,3,4,3,"CK,CJ,C10,C2;S7,S8,S2,S10;SJ,SK,SA,SQ;C4,C3,S6,S5;S9,CQ,C8,S3;CA,C9,C7,C5;D4,D9,D7,D2;C6,D6,D5,S4;DJ,DK,DA,D3;D8,H3,DQ,D10;HK,H6,H9,H10;HQ,H4,HA,H5;H7,H2,H8,HJ"
1571471718,3,3,3,"C7,CA,CQ,C2;S10,SK,S4,S2;S3,S7,SA,S6;S9,C6,SJ,S5;SQ,C3,C8,S8;C5,D7,C9,C4;CJ,C10,DK,CK;D2,D3,DA,D4;H9,H6,H5,H3;D8,D9,H4,D5;HA,DQ,H7,H2;DJ,H10,HQ,H8;HJ,D10,D6,HK"
1571471718,3,1,3,"C6,C9,CJ,C2;S3,SK,SJ,S4;S7,S6,S9,S5;C4,SA,S10,S2;D2,SQ,C5,S8;C8,CA,D3,C3;D6,C10,D5,C7;D9,D8,DJ,D4;H5,DK,CQ,D7;CK,DA,H10,D10;HK,H9,H6,H3;H2,H8,H4,HQ;DQ,HJ,H7,HA"
1571471718,3,5,3,"C5,C9,CQ,C2;S7,SJ,S9,S2;SA,S10,S3,S4;S8,SQ,S6,S5;CJ,C3,C6,C8;C4,C7,C10,CK;D4,D8,D3,D6;D10,DQ,D5,D2;DA,D7,CA,DK;D9,H9,H2,SK;H7,H10,H4,DJ;HJ,HA,H8,H3;H6,H5,HK,HQ"
1571471718,3,18,3,"C3,CK,CJ,C2;S3,S2,SA,S5;S9,SQ,C4,S8;C6,S10,SK,S4;C7,C8,SJ,S6;D4,D6,D8,D5;D9,C5,C10,CQ;D10,C9,D7,CA;DQ,S7,DK,D2;D3,H2,H3,DJ;H4,H7,H8,DA;H5,HK,H9,H6;HQ,HJ,HA,H10"
1571471718,3,17,3,"CK,C8,S3,C2;S4,SA,S6,S2;S7,C6,SK,S5;S8,C5,C10,C7;D5,S9,C4,CJ;D8,S10,C3,CQ;DQ,SJ,C9,CA;H6,D2,D9,D3;DA,H7,DJ,D4;HA,D6,D7,D10;HK,SQ,H5,DK;H8,H10,H3,H2;H4,HJ,H9,HQ"
