1571478995,3,0,1,"CQ,C10,CK,C2;SQ,S2,S3,S4;S6,SA,C6,S5;C8,SJ,C4,S7;C5,SK,C9,S8;CJ,CA,C7,C3;D4,D6,D2,S9;D7,D9,D8,S10;D10,DK,DQ,D3;H2,H3,H4,H5;HK,H7,HA,H6;HQ,HJ,DJ,DA;H9,H8,D5,H10"
1571478995,3,4,1,"CJ,C9,CQ,C2;S2,S4,S3,S5;S9,C8,S6,S7;CA,C4,C7,C3;D4,D5,D6,D7;D2,D8,D3,D9;D10,S8,DK,DJ;DA,CK,C6,C5;S10,C10,H2,SJ;SK,DQ,H4,SA;H8,HJ,HQ,H3;HA,H5,H6,H7;SQ,H9,H10,HK"
1571478995,3,11,1,"C8,CJ,CQ,C2;S6,S7,S9,S2;SK,SQ,SA,S3;C6,SJ,S4,S5;C3,C4,C10,S8;C5,D4,CK,S10;CA,D7,D2,C7;DK,D10,D6,C9;H2,DA,D9,D3;D8,DJ,H4,DQ;HK,HA,H8,H3;H7,H9,HQ,D5;H6,H5,H10,HJ"
1571478995,3,9,1,"CQ,C10,CK,C2;S4,S6,S7,S8;S9,S5,S3,S10;SJ,D2,S2,SQ;SK,D3,C6,SA;C3,DJ,C8,C4;C9,CA,DA,C7;H3,DQ,C5,CJ;H5,DK,D9,D4;H7,H8,HA,H2;H4,D8,H6,H9;HQ,D7,D10,H10;D6,D5,HK,HJ"
1571478995,3,21,1,"C10,CJ,CK,C2;SA,S3,S2,S4;C6,C7,CQ,C4;C5,S5,S7,S6;C9,C8,S9,C3;D2,SK,CA,S8;DJ,S10,D7,SJ;DK,D3,D8,SQ;H2,D9,DQ,D4;H10,H5,H3,H6;HK,D6,HQ,D10;H8,D5,HJ,DA;H4,HA,H7,H9"
1571478995,3,4,1,"CJ,C10,CQ,C2;S5,S6,S4,S7;S2,S3,S8,S9;SQ,C4,S10,SK;C7,C8,C5,C9;D5,D4,D3,D6;D10,DJ,DK,D7;D9,C6,CA,C3;CK,DA,SJ,D2;SA,D8,H5,DQ;HJ,H9,HA,H2;H4,H10,H6,H7;H3,HQ,HK,H8"
1571478995,3,4,1,"C9,C7,CJ,C2;S10,S9,SQ,S4;S7,S5,S6,S8;C8,C10,C3,C4;SA,C6,SK,S2;CA,SJ,S3,C5;D3,D4,D7,CQ;D10,D5,D9,CK;DK,DA,H3,D2;H7,D8,DQ,D6;HA,HK,HQ,DJ;H6,H10,H2,H4;H8,H5,HJ,H9"
1571478995,3,0,1,"C8,CK,C3,C2;S7,S10,SJ,S2;S6,S4,S5,S8;C10,S3,CQ,C5;CA,C4,SQ,C6;C9,SK,CJ,C7;D7,D5,D8,D9;D10,D2,D3,DJ;D6,S9,DQ,DK;D4,H7,SA,DA;H5,H8,H6,H9;H10,HJ,H4,HQ;H2,HK,H3,HA"
1571478995,3,13,1,"C9,C7,CJ,C2;SK,SA,S3,S4;S2,S5,S7,S8;S10,SJ,S6,S9;CA,C8,C5,C10;C3,C4,D10,SQ;DK,D8,DA,D3;D9,D6,D2,DJ;D7,D4,CQ,DQ;H8,HQ,HK,H2;HJ,H5,HA,H3;H9,H10,H4,C6;H7,H6,D5,CK"
1571478995,3,8,1,"C8,C6,CQ,C2;SA,S6,S4,S7;S10,S3,S8,SJ;D5,D4,D3,D6;DJ,D10,DA,D7;D9,S9,S2,SQ;DQ,C3,SK,C4;DK,C7,D2,C9;H4,C5,H2,C10;H7,CA,H6,CJ;HA,HQ,HK,S5;H10,H5,HJ,CK;H9,D8,H8,H3"
1571478995,3,7,1,"C5,C9,CJ,C2;S10,S8,SA,S3;SK,S2,S5,S4;S9,CQ,S6,S7;CK,C6,C10,C3;DJ,DK,DA,D6;D8,CA,SQ,C4;D3,C7,D9,SJ;DQ,C8,H2,D2;H5,H3,D7,D4;HK,HA,H4,H6;H9,HJ,D10,H7;D5,HQ,H8,H10"
1571478995,3,5,1,"CJ,CK,CA,C2;S5,S4,S3,S6;SQ,S7,S8,S9;SK,S2,S10,SJ;C9,C8,C10,C3;D3,C4,C7,C5;D5,D6,CQ,C6;D2,D8,D9,SA;D4,DA,DK,D7;H2,H6,H7,H8;HQ,H5,H9,H10;DJ,H4,HA,D10;H3,HJ,DQ,HK"
