1571898212,3,6,2,"CJ,C5,CQ,C2;CA,C6,CK,C9;C4,DA,C10,C7;D9,D10,DJ,D2;DQ,D6,DK,D3;D4,SQ,C8,C3;D8,H9,D7,D5;H6,H4,HQ,H3;HA,S2,H8,H5;S6,H7,S5,HJ;S7,HK,S8,H10;S10,S3,S9,H2;SA,S4,SK,SJ"
1571898212,3,13,2,"C9,CK,CA,C2;C7,C8,C6,C10;DA,D7,D8,D3;SQ,C3,DK,C4;D4,CQ,DJ,C5;D9,DQ,D2,CJ;SA,S4,S5,S2;D5,HA,HJ,D6;H8,HK,H9,H5;H7,H2,H6,H3;SK,S10,S3,S6;H4,HQ,SJ,S7;S9,D10,H10,S8"
1571898212,3,0,2,"CK,C4,C8,C2;CA,C5,C3,C6;C7,CQ,CJ,C9;DA,D9,D10,D3;D5,D7,DK,C10;D4,HQ,DQ,D6;SQ,D2,H8,D8;HA,H7,H3,DJ;HK,H4,H2,H5;S2,S4,HJ,H9;H6,S6,S9,H10;S5,S8,SK,S7;SJ,S3,SA,S10"
1571898212,3,4,2,"C10,CJ,CK,C2;CQ,C8,C5,C9;C4,CA,DK,C6;DQ,D6,D3,D7;DA,D2,D10,D8;C3,HK,D9,C7;DJ,HQ,H10,D4;S10,S4,S3,S5;H7,H8,HA,H6;S6,S8,S9,S7;HJ,H4,H2,D5;H9,H3,SK,H5;S2,SA,SQ,SJ"
1571898212,3,12,2,"C10,CA,DA,C2;SQ,C3,DK,C4;D10,C5,DJ,C6;D9,CK,D7,C7;D5,C9,D2,CJ;D3,D6,HK,D4;H9,HQ,H3,H4;HA,H10,H6,D8;H7,H8,H5,DQ;S2,C8,H2,HJ;SJ,S3,S7,S8;S10,S9,SA,S4;S6,CQ,S5,SK"
1571898212,3,4,2,"CK,CJ,C10,C2;SQ,C4,CA,C5;CQ,DA,C3,C8;HA,HK,D8,C6;H10,S3,H6,H3;SA,D3,D5,D6;SK,D7,D4,D9;SJ,D2,D10,DJ;S10,HQ,DQ,DK;S6,HJ,S7,S2;H9,S9,H5,C7;H7,S8,H4,C9;S5,S4,H2,H8"
1571898212,3,1,2,"CJ,CQ,CK,C2;CA,C5,C7,C8;DQ,D3,D7,D8;C9,DK,SQ,C3;H10,HK,C4,C6;H7,HQ,H3,H4;C10,HA,H6,H9;D5,H8,D9,D2;D10,DJ,H5,D4;S2,D6,HJ,H2;S7,SK,S10,DA;S6,S9,S8,SJ;S4,S5,S3,SA"
1571898212,3,17,2,"CA,C10,CQ,C2;DA,D7,D5,D3;CJ,C4,DK,C7;C9,DJ,CK,C3;C6,SQ,D10,C8;H9,HA,D9,D2;H8,H7,H2,H4;H6,HQ,D6,D4;D8,H5,HJ,H3;HK,DQ,C5,H10;S9,S3,S7,S2;SK,S6,SA,S5;S8,S10,S4,SJ"
1571898212,3,25,2,"CA,CK,C9,C2;CJ,C7,CQ,C3;D8,C10,C6,C4;DA,DK,D3,D6;D9,H9,DQ,D2;HK,HA,H5,H2;H8,HQ,SQ,C5;H3,HJ,H7,C8;S3,H6,H4,H10;SK,DJ,D5,D7;S8,S2,S4,S5;S10,SJ,SA,D4;S9,S6,S7,D10"
1571898212,3,0,2,"CA,C10,CK,C2;DK,D4,D5,D6;CQ,C9,DA,C5;SQ,DQ,C7,C3;CJ,D2,D10,C6;HK,HA,D9,C4;H8,HQ,HJ,C8;H7,H6,H10,D3;H4,H5,SA,D7;H2,H3,S2,H9;SK,SJ,S9,D8;S6,S10,S8,DJ;S5,S7,S4,S3"
1571898212,3,0,2,"C8,CJ,CQ,C2;C4,C7,CA,C3;C10,DK,C6,C9;D10,D6,CK,C5;DA,D2,D4,D5;D9,HQ,HA,D3;HJ,H8,DQ,D7;H10,H4,H7,H3;H9,H6,HK,H5;D8,H2,SA,DJ;S9,S8,S7,S10;S5,S6,SJ,SK;S4,S3,S2,SQ"
1571898212,3,0,2,"CA,C7,C8,C2;CJ,DK,C4,C5;D10,C10,CK,C3;C6,D6,D8,C9;DJ,D2,D4,CQ;D9,HA,HK,D3;H7,HJ,DA,D5;HQ,H4,H8,H3;SA,S4,S5,S7;H6,SQ,H10,H2;S3,H5,D7,H9;S8,S2,S10,S9;SK,S6,SJ,DQ"
