1571900258,3,21,0,"CJ,C10,CA,C2;DK,C3,C4,C5;DQ,D10,C8,C6;CK,D5,D7,C7;D3,D6,DA,C9;HJ,D2,D9,CQ;H10,HK,H5,H4;S6,SJ,S2,S3;H6,H9,HA,D4;SA,H7,HQ,D8;S10,SK,H8,DJ;S9,S7,H3,S4;S5,H2,SQ,S8"
1571900258,3,0,0,"CJ,CK,CA,C2;DA,C10,C4,C5;C9,CQ,DK,C7;DQ,D8,D2,D3;D7,D6,D9,D10;S7,S2,S6,S8;S5,SJ,SA,S9;HA,SQ,D4,D5;HK,H7,HQ,DJ;H10,S4,H4,S10;H9,S3,C8,SK;H8,H5,C3,H6;H3,C6,HJ,H2"
1571900258,3,1,0,"CQ,C9,CA,C2;C4,C10,C3,C5;C8,CK,DJ,C6;D8,SQ,DA,C7;D7,D5,DK,CJ;HA,D4,DQ,D2;H3,HK,H7,H4;SJ,S9,SK,S5;HQ,H6,D3,D6;HJ,H5,H10,D9;H9,H2,H8,D10;SA,S4,S6,S7;S2,S3,S8,S10"
1571900258,3,0,0,"CQ,C9,C10,C2;CA,C4,CK,C5;C3,C8,C7,CJ;D10,D2,D7,D4;DK,D6,DA,D3;D8,D9,HA,DJ;H8,HJ,H5,H2;HQ,SQ,H6,C6;H7,HK,D5,DQ;SA,SK,S2,S4;H9,H4,H10,H3;S10,S6,S5,S7;S8,SJ,S9,S3"
1571900258,3,5,0,"C7,C9,CA,C2;CJ,DA,C4,C5;DJ,C6,CK,C8;SQ,D10,C3,C10;DK,D9,D7,CQ;D3,D8,HQ,D4;HJ,DQ,D2,D5;S2,S3,H10,S4;S6,S5,H9,S7;S9,SJ,H5,S8;H4,HK,HA,D6;H3,S10,H8,H7;H6,H2,SK,SA"
1571900258,3,19,0,"C10,CK,CA,C2;CJ,C8,DQ,C3;C7,D10,C4,C5;D6,D2,D7,D3;SQ,H7,CQ,C6;D4,D5,H4,D8;HA,DJ,H3,DK;HQ,H5,S3,H10;HK,SA,H9,C9;S9,S8,SJ,S2;S6,H2,S4,H8;S7,HJ,S5,H6;SK,DA,S10,D9"
1571900258,3,1,0,"CA,C8,CQ,C2;CK,C9,C10,C3;CJ,C7,C5,C6;DQ,D2,D4,D6;D10,DJ,DA,D5;D7,D8,D3,D9;SQ,HJ,H6,DK;SK,S6,S5,S7;H4,H5,HK,H2;HA,H3,S2,HQ;S3,S8,H9,S9;C4,S4,H8,H10;SA,SJ,H7,S10"
1571900258,3,0,0,"CA,CJ,CK,C2;C5,CQ,C7,C3;C6,C8,SQ,C9;C4,DJ,DA,C10;DK,D4,D10,D2;HA,D8,D9,D5;DQ,HQ,D3,D6;H8,H4,H9,D7;SJ,SK,SA,S3;S8,S10,S4,S5;H3,S6,HK,H7;H6,H2,S7,H10;H5,S2,S9,HJ"
1571900258,3,4,0,"CQ,C10,CK,C2;CA,C4,C9,C7;CJ,C8,SQ,C3;DA,D5,D6,D2;D8,C6,D3,D4;S10,S7,SJ,S2;HA,C5,DK,D7;H8,H9,HJ,H3;SK,H7,SA,S3;H10,HK,H2,H6;D9,H5,S5,HQ;D10,H4,S9,DJ;DQ,S4,S8,S6"
1571900258,3,0,0,"C3,DQ,CA,C2;CK,DA,D8,C5;D10,D7,C9,C4;CQ,HK,HA,C6;H9,HQ,C8,C10;H8,H10,C7,CJ;D6,H7,DK,D2;DJ,D3,H4,D4;H5,S10,D5,D9;H3,S5,SQ,HJ;H2,S6,S2,H6;SA,S8,S3,S4;S7,S9,SK,SJ"
1571900258,3,0,0,"CA,C10,CK,C2;DA,C8,DK,C3;DQ,C5,D9,C6;DJ,C4,D8,C7;D10,S3,SJ,S2;S10,D7,SQ,S4;HK,HQ,D6,C9;HJ,H2,HA,H4;CJ,H3,H6,H7;CQ,H8,S5,H10;D2,S6,S8,H9;D3,S7,SK,H5;D4,S9,SA,D5"
