1571901494,3,8,0,"C9,CQ,CK,C2;CA,C8,D10,C10;C4,D6,DK,C5;C3,D3,D8,C6;SQ,D2,D7,C7;HA,HK,D5,CJ;H9,H2,HQ,H3;D4,H4,H10,H7;HJ,DJ,D9,H8;DA,DQ,S3,H6;S2,S8,S4,H5;SK,SA,S9,S5;S6,S7,S10,SJ"
1571901494,3,7,0,"CA,CJ,CK,C2;C10,C4,CQ,C3;D7,D9,DA,D4;D10,D3,D6,D8;C9,D2,DK,D5;H8,C7,SQ,DJ;H7,HQ,H3,H2;C8,HA,H5,H6;H4,HJ,S2,H9;S8,HK,S3,H10;S10,C6,SA,DQ;S6,S9,SK,S5;S7,S4,C5,SJ"
1571901494,3,0,0,"CJ,CQ,CA,C2;C8,C10,C9,CK;D10,D5,D2,D3;C7,C4,DK,C5;SQ,DQ,D9,C3;HJ,HA,HK,C6;D8,DJ,H7,D4;H5,H9,DA,D6;HQ,H4,H8,H3;H2,H6,D7,H10;SJ,S8,SK,S3;S9,S10,S2,S4;SA,S6,S7,S5"
1571901494,3,0,0,"C10,CJ,SK,C2;SQ,C8,C9,C3;C6,DA,CA,C7;DQ,C5,DK,CQ;D10,C4,D5,CK;D8,DJ,D4,D2;HK,D6,D7,D9;SJ,S9,S10,S2;HA,S7,SA,S3;S5,HJ,S6,S4;HQ,H8,H3,H4;H7,H2,H9,H6;H5,S8,H10,D3"
1571901494,3,0,0,"CQ,CJ,CA,C2;CK,C4,C5,C6;DJ,D4,D6,D7;C10,C7,SQ,C3;DA,SK,D8,D9;HA,D10,DQ,D2;H9,HQ,HK,H4;H6,H8,H7,C8;SJ,H2,H5,C9;S2,D3,H3,HJ;S3,DK,S7,H10;S6,SA,S10,D5;S5,S4,S9,S8"
1571901494,3,18,0,"CQ,CK,CA,C2;CJ,C7,C9,C3;C6,D10,C8,C10;D9,D8,DQ,D3;SK,C4,D6,C5;DA,SA,D4,D5;HJ,D2,D7,DJ;H9,H2,HA,H4;S10,S6,S8,S2;H5,HK,SQ,DK;H3,HQ,H10,H8;S3,H7,S4,H6;S9,S7,SJ,S5"
1571901494,3,0,0,"C7,CK,CA,C2;C6,C5,CJ,CQ;DK,D7,D6,D9;D2,D10,DA,D3;D8,C4,SK,DJ;D5,HQ,C10,DQ;HJ,H2,HK,H4;HA,H3,H7,H6;SQ,H10,H8,H9;C3,S4,D4,H5;S8,S9,S10,S2;SJ,C9,SA,S3;S7,S5,C8,S6"
1571901494,3,0,0,"CQ,C7,C10,C2;C5,C6,C3,C4;DA,D7,DQ,D2;C8,DJ,D9,C9;SK,D6,D8,CJ;DK,D5,D3,CK;H10,HA,HK,CA;H9,D4,H7,D10;S10,S6,SJ,S4;H6,H8,HQ,H4;S7,SA,S8,S2;S3,S5,H3,S9;H5,HJ,H2,SQ"
1571901494,3,1,0,"CA,C9,CK,C2;C8,C6,C10,CJ;C7,C4,C5,CQ;D9,D4,D5,D7;SK,SQ,DA,C3;DJ,DQ,DK,D2;S8,S10,SA,S2;H10,D6,D8,D3;HA,H2,HJ,H4;H7,H9,H6,H3;S5,S9,SJ,S3;S6,HQ,HK,H5;S4,S7,H8,D10"
1571901494,3,13,0,"C10,C7,CJ,C2;CA,C4,C3,C5;C9,SQ,D9,C6;SK,D8,CK,C8;D4,DA,D3,CQ;HK,D6,D2,D7;H9,DJ,HQ,DQ;H5,D10,H10,DK;SJ,S4,S9,S2;HA,S7,SA,S3;S6,H4,H2,H6;S8,H3,H8,HJ;S10,D5,S5,H7"
1571901494,3,25,0,"C10,C6,C9,C2;DA,D3,D9,D2;C5,CQ,SQ,CK;DK,CA,DQ,D4;CJ,D7,D8,D10;S8,S6,SK,S2;HK,C8,D5,D6;HJ,H10,HA,DJ;S10,H8,SA,S3;HQ,H7,H2,H6;S9,C7,S5,S4;C3,H5,H9,H4;S7,C4,H3,SJ"
1571901494,3,26,0,"C10,C8,CK,C2;SQ,C6,C5,C7;DA,SA,C4,C9;DQ,SK,C3,CJ;DJ,DK,CA,CQ;D10,D6,D7,D8;D2,D3,HA,D4;S2,S4,SJ,S3;HK,HJ,H5,H4;H8,H9,S5,S6;H7,H3,S8,S9;H6,H2,S7,HQ;D5,D9,S10,H10"
1571901494,3,11,0,"CK,CJ,CA,C2;C4,C3,SQ,C5;C8,CQ,DK,C6;DQ,C9,SK,C7;DA,D9,D8,D3;C10,D7,D10,D2;S7,SJ,S5,S3;S4,S9,S6,S10;HA,H4,H2,H3;HK,D4,H8,D5;H10,DJ,H7,D6;H6,HQ,S8,H9;SA,S2,H5,HJ"
