1571904444,3,6,1,"C4,CK,CA,C2;C3,SQ,C5,C6;C9,SA,CJ,C7;DK,D6,DA,D2;DQ,D10,D3,D4;CQ,SK,DJ,D5;D7,H8,H10,D8;S9,SJ,S8,S3;H9,HK,H3,H4;HA,H7,H6,H5;C10,H2,HQ,D9;S10,S5,S6,S2;S7,S4,HJ,C8"
1571904444,3,10,1,"C10,C8,CK,C2;CQ,C3,CA,C4;CJ,SK,SA,C5;D9,DK,C7,C9;D2,DQ,DA,D3;SQ,HA,D8,C6;H7,H5,H4,H2;HK,D6,D5,D7;H8,HQ,D4,D10;H3,HJ,H9,DJ;S10,SJ,S3,S4;S5,S7,S8,S9;H6,S6,S2,H10"
1571904444,3,20,1,"C8,C10,CJ,C2;CK,C7,C3,C4;SQ,C6,DK,C9;SA,C5,DQ,CQ;DA,D4,D8,D3;D2,D7,D6,D9;H9,HA,D5,D10;H2,HJ,HQ,H4;S5,S3,S4,S6;HK,S2,H7,S7;H10,S10,H6,S8;H5,SK,H8,CA;H3,SJ,DJ,S9"
1571904444,3,0,1,"C6,CQ,CK,C2;CJ,C5,CA,C3;C8,C10,SK,C4;SA,DJ,DA,C7;DQ,D9,D5,C9;D4,D6,HQ,D7;D10,D3,H9,DK;S10,S8,S2,S4;H10,H7,HA,H3;HK,H6,H4,H5;D2,S9,SQ,D8;S6,S7,SJ,S3;H8,H2,S5,HJ"
1571904444,3,4,1,"SA,CJ,CA,C2;C6,SQ,C5,C7;CK,SK,C8,C9;DK,C3,DJ,C4;DQ,DA,D9,C10;D8,D10,D7,CQ;D2,D3,D5,D6;S8,S9,S10,S2;HA,H10,H8,D4;HQ,H2,H5,H4;H9,H3,H6,H7;SJ,S3,S7,S4;HK,HJ,S5,S6"
1571904444,3,0,1,"CQ,CA,C8,C2;C5,C7,C4,C9;DK,C6,CJ,CK;DQ,D2,D4,D5;DA,D3,D9,D6;SA,D7,D8,D10;HK,SQ,H5,DJ;SJ,S2,S3,S4;HQ,H3,HA,H4;S9,S6,S5,S7;H9,H2,HJ,C3;H7,S8,H10,H8;C10,H6,S10,SK"
1571904444,3,0,1,"CQ,CK,C9,C2;DK,D5,D3,D6;CA,C4,SQ,C5;CJ,D9,C6,C10;D7,SK,SA,C3;HA,DQ,DA,C7;H6,H9,HK,H2;DJ,H5,D4,D2;H3,H7,HJ,C8;S10,H4,D8,D10;S7,SJ,S2,S5;S9,HQ,S4,S6;H10,S3,S8,H8"
1571904444,3,0,1,"CQ,CK,DK,C2;D10,C5,C3,C6;D7,C4,C10,C7;CJ,D2,CA,C8;D4,DQ,HK,D5;HJ,H9,SQ,C9;H3,DA,D3,D6;HQ,HA,H2,H4;SJ,D8,H10,D9;S9,S4,S10,S3;SK,S7,SA,S6;H6,H8,S2,H7;S5,DJ,H5,S8"
1571904444,3,1,1,"CA,C10,C8,C2;SK,C7,C4,C3;DA,C5,DJ,C6;D10,DQ,D3,D4;HQ,SQ,D8,C9;HJ,HK,HA,CJ;H10,H6,H9,CQ;H8,DK,H7,CK;H5,D9,D2,D5;S8,S9,SJ,S2;S10,H3,SA,S4;H4,S7,D7,D6;S6,S5,S3,H2"
1571904444,3,4,1,"CK,C8,C10,C2;DA,DQ,SK,D2;C4,CA,DJ,C5;D10,CJ,C3,C6;D7,CQ,D4,D5;C9,D9,DK,D3;SQ,C7,D8,D6;SA,S5,SJ,S2;HQ,S9,HA,S3;HJ,HK,H4,H2;H10,S4,H8,H6;S6,H7,S8,H3;S10,H9,S7,H5"
1571904444,3,13,1,"CK,C8,CA,C2;CQ,C4,C5,C7;C3,SA,CJ,C6;DK,D8,D10,D2;DA,D7,SQ,C9;D5,D6,SK,C10;HA,D4,DQ,D9;HK,HQ,D3,DJ;S10,S3,S9,S4;H8,H10,HJ,H5;S6,S2,S5,S7;H7,H6,H9,S8;H4,H2,H3,SJ"
1571904444,3,0,1,"CQ,CJ,CA,C2;C8,C10,C5,C6;C9,CK,C3,C7;DK,DJ,DQ,D5;DA,D10,D8,D6;C4,D7,SK,D2;SJ,SA,S3,S2;HK,SQ,HA,D3;HQ,H9,H10,H4;H3,S4,HJ,H8;H7,S5,S6,H6;S7,S8,D4,H2;S10,S9,D9,H5"
1571904444,3,23,1,"CA,C4,CK,C2;SA,CQ,C10,C3;C9,C7,DQ,CJ;DK,DJ,D7,D2;C5,D6,DA,C6;SQ,HQ,D8,C8;HA,H10,D4,D5;HK,H2,D3,D9;H9,S2,H4,H6;S5,H3,H8,H7;S7,S10,HJ,D10;S4,S9,SJ,SK;S3,S8,S6,H5"
1571904444,3,0,1,"CA,C8,CK,C2;C7,C3,C4,C5;DJ,D3,D6,D7;DQ,D10,DA,D4;D5,D8,D2,D9;SA,CQ,SK,DK;SJ,S8,S10,S4;S5,C9,S9,S2;S7,S3,C6,SQ;HA,HK,H6,H8;H9,H5,HQ,H4;H7,C10,H3,H10;S6,CJ,H2,HJ"
