1571493474,3,15,3,"CA,CQ,S4,C2;SQ,S6,S3,S9;S5,SJ,S2,S8;CJ,S7,C4,C3;S10,CK,C7,C5;C10,SA,C8,C6;D3,D7,C9,SK;D6,D10,D2,D5;H10,HK,H3,H7;DJ,D4,H5,D9;DK,DA,HA,DQ;H4,H2,HQ,H8;H6,H9,HJ,D8"
1571493474,3,16,3,"C10,CK,C5,C2;SA,S7,S8,S6;S5,SK,S4,C8;C4,C3,C6,CQ;DQ,D5,D4,D6;C7,S9,S2,D7;D3,D8,D9,DK;S3,D2,DA,D10;S10,C9,DJ,H2;SJ,H10,H3,H8;SQ,H7,H5,HJ;CJ,HQ,H4,H6;CA,H9,HA,HK"
1571493474,3,13,3,"CK,C3,CQ,C2;SJ,S3,S7,S8;S4,S6,SA,S9;SK,C9,S5,S10;C10,CA,C8,C6;SQ,C7,CJ,S2;D3,D5,D4,C4;D6,D7,D10,C5;DJ,DA,DQ,D2;H3,D9,D8,DK;H2,H4,H6,H5;H8,H9,H7,HA;HQ,HK,H10,HJ"
1571493474,3,0,3,"CQ,C10,C3,C2;S9,S8,S10,S4;S2,SK,SJ,S7;SA,C4,S3,S6;C9,S5,C5,C6;SQ,CA,C8,C7;D6,D2,CJ,D4;D7,D3,CK,D5;DK,DJ,D8,DQ;HQ,H8,H3,HA;H6,D9,H4,D10;HJ,H7,H10,DA;HK,H9,H5,H2"
1571493474,3,21,3,"C4,C10,CK,C2;S7,S2,S3,SJ;C7,SA,S4,S6;S8,C8,S5,SQ;CJ,S10,SK,S9;D3,C5,C3,CA;D5,CQ,D6,C6;DA,DK,D4,D8;DQ,DJ,D7,D2;D10,H3,D9,C9;H8,H5,H9,HJ;HQ,H6,HA,H2;H7,H10,H4,HK"
1571493474,3,1,3,"CA,C9,C4,C2;S2,S3,S9,S4;CJ,C8,C6,C5;S7,S10,C7,S5;CK,S8,SA,S6;SQ,D8,SJ,SK;C3,DK,D2,CQ;D3,H4,D5,D4;DQ,D10,D6,H6;H8,H3,H2,HA;D7,HQ,H10,H7;C10,D9,H5,HJ;DA,HK,DJ,H9"
1571493474,3,0,3,"C5,CK,C6,C2;S8,S7,S9,S3;C10,C7,CJ,C8;CQ,S5,SQ,S6;C9,CA,SJ,S2;D2,D3,D5,S4;D9,D6,D7,S10;D10,D8,H2,SK;DJ,H4,SA,DK;DQ,H5,C3,HQ;H9,H6,C4,H10;HJ,H7,D4,DA;H8,HA,HK,H3"
1571493474,3,4,3,"CJ,C9,CQ,C2;S8,SQ,SK,S9;C7,CA,C4,C8;C5,SA,S2,S5;SJ,C10,S3,S4;CK,S6,S7,C3;D2,D3,S10,D6;D4,D7,C6,DQ;D9,DA,D5,H4;D10,DK,DJ,H7;H8,D8,H6,H10;HQ,H3,H5,HJ;H9,HK,H2,HA"
1571493474,3,0,3,"C8,C7,CQ,C2;SQ,S7,SK,S6;SJ,S3,S5,S2;C9,CA,C6,C5;S10,C10,S9,S4;D4,C3,SA,S8;CK,D6,C4,CJ;D7,D3,D8,D5;D10,DQ,D2,DK;H5,H6,HQ,H3;H8,DJ,D9,DA;HJ,HK,H2,H4;HA,H9,H10,H7"
1571493474,3,1,3,"C3,C5,C7,C2;S7,SA,S3,SQ;SK,S10,S4,S8;S5,S6,SJ,C4;CJ,D7,C10,C9;D8,CQ,S2,C6;DJ,CK,S9,C8;H5,D5,D3,D4;DA,D9,H6,D2;DQ,DK,HA,D6;H4,H3,HQ,HK;H10,D10,H9,CA;HJ,H2,H8,H7"
1571493474,3,0,3,"C8,C4,CA,C2;S7,SA,S3,S10;SK,S5,S8,S6;S2,SJ,S4,C9;CQ,D6,C6,CK;DQ,D10,DK,D5;D9,CJ,S9,D7;H2,D2,SQ,DA;H4,D3,C3,H3;H8,D4,C5,H6;H10,D8,C7,H7;HJ,DJ,C10,H9;HQ,HA,H5,HK"
1571493474,3,4,3,"C10,CJ,CK,C2;SK,SA,S7,S5;S10,SQ,S2,S3;SJ,C3,S4,C4;C8,S6,S8,C9;CQ,C5,S9,D7;D2,C6,C7,D9;D10,D4,CA,DJ;DK,D8,D3,DQ;D5,D6,DA,H6;H10,H2,H7,H9;H3,H4,HQ,HA;HJ,H8,H5,HK"
1571493474,3,2,3,"C9,C6,C8,C2;S10,SA,S2,S8;SQ,S5,S9,S7;S3,C3,S4,S6;SK,C4,C7,SJ;CK,CA,C10,C5;D4,CQ,CJ,D2;DA,DK,D3,DJ;H3,D10,D5,H2;D6,H7,D7,H5;DQ,H10,D8,H8;HA,H4,H6,HK;H9,HJ,D9,HQ"
1571493474,3,13,3,"CK,C9,CJ,C2;SJ,S9,S2,S8;S10,S4,S5,C4;S6,S7,SQ,C10;C7,C6,CA,CQ;D2,D3,D4,D9;S3,D7,DJ,D5;SK,DK,D10,D8;H3,C8,C3,D6;H5,SA,C5,DQ;H6,H8,HJ,HA;H10,H7,H9,DA;HK,HQ,H4,H2"
1571493474,3,14,3,"CK,C5,CQ,C2;C10,C6,C4,CJ;C8,S8,S9,S2;C9,S3,C3,CA;D3,SA,D4,S4;D7,D8,S6,SK;D9,SQ,DK,S5;H3,DA,S10,S7;H4,D5,H2,D10;DJ,H5,HA,SJ;DQ,H7,HK,C7;H6,H9,HQ,D2;H8,HJ,H10,D6"
